"Easting","Northing","ICS_max","Date"
230000,584000,0,"1995-03-01"
230000,584500,0,"1995-03-01"
230000,585000,0,"1995-03-01"
230000,585500,0,"1995-03-01"
230000,586000,0,"1995-03-01"
230000,586500,0,"1995-03-01"
230000,587000,0,"1995-03-01"
230000,587500,0.00950170610999464,"1995-03-01"
230000,588000,0.0107938612483166,"1995-03-01"
230000,588500,0,"1995-03-01"
230000,597000,0,"1995-03-01"
230000,597500,0,"1995-03-01"
230000,598000,0,"1995-03-01"
230000,598500,0,"1995-03-01"
230000,599000,0,"1995-03-01"
230000,599500,0,"1995-03-01"
230000,6e+05,0,"1995-03-01"
230000,600500,0,"1995-03-01"
230000,601000,0,"1995-03-01"
230000,601500,0,"1995-03-01"
230000,607500,0.030529642977873,"1995-03-01"
230000,608000,0.0394417326641233,"1995-03-01"
230000,608500,0.031742385468547,"1995-03-01"
230000,609000,0.0253089654461447,"1995-03-01"
230000,609500,0.0239170595170008,"1995-03-01"
230000,610000,0.0218821982686933,"1995-03-01"
230000,610500,0.017885806184036,"1995-03-01"
230000,611000,0.010733217255403,"1995-03-01"
230000,611500,0.000752661465474229,"1995-03-01"
230000,612000,0.000742303715748004,"1995-03-01"
230000,612500,0.000642641062810589,"1995-03-01"
230000,613000,0,"1995-03-01"
230000,613500,0,"1995-03-01"
230000,614000,0,"1995-03-01"
230000,614500,0,"1995-03-01"
230000,615000,0,"1995-03-01"
230000,615500,0,"1995-03-01"
230500,572500,0,"1995-03-01"
230500,573000,0,"1995-03-01"
230500,573500,0,"1995-03-01"
230500,574000,0,"1995-03-01"
230500,574500,0,"1995-03-01"
230500,575000,0,"1995-03-01"
230500,575500,0,"1995-03-01"
230500,576000,0,"1995-03-01"
230500,576500,0,"1995-03-01"
230500,577000,0,"1995-03-01"
230500,577500,0,"1995-03-01"
230500,578000,0,"1995-03-01"
230500,578500,0,"1995-03-01"
230500,579000,0,"1995-03-01"
230500,579500,0,"1995-03-01"
230500,580000,0,"1995-03-01"
230500,580500,0,"1995-03-01"
