YYMMDD,TIME,LOCATION,LAT,LON,DEPTH,MAG,EVALMODE
20010621,35049.05,Garrelsweer,53.295,6.8,3,1.7,manual
20010807,170901.5,Veendam,53.097,6.845,3,0.3,manual
20010909,65812.52,Bergen,52.651,4.713,2,3.5,manual
20010910,43015.43,Bergen,52.653,4.712,2,3.2,manual
20011010,64109.36,Schoorl,52.682,4.648,2.9,2.7,manual
20011010,140643.35,Slochteren,53.239,6.763,3,1,manual
20011010,140657.24,Slochteren,53.24,6.763,3,0.8,manual
20011112,143315.37,Waddenzee (nabij Dornum),53.694,7.377,3,1.4,manual
20011204,190831.06,Froombosch,53.204,6.785,3,0.2,manual
20011204,190837.83,Froombosch,53.204,6.785,3,0,manual
20011204,223337.96,Froombosch,53.21,6.743,3,1,manual
20011211,151717.62,Slochteren,53.217,6.788,3,0.7,manual
20011220,12542.98,Wildervank,53.081,6.838,3,0.5,manual
20011225,232811.71,Uithuizen,53.397,6.682,3,1.1,manual
20011226,123653.07,Eexterveen,53.056,6.805,3,-0.2,manual
20020205,103039.74,Stedum,53.319,6.717,3,2.2,manual
20020214,170104.74,Roswinkel,52.831,7.035,2,2.1,manual
20020227,35214.03,Oosterwijtwerd,53.337,6.827,3,1.1,manual
20020317,21627.9,Donderen,53.093,6.543,3,0.4,manual
20020414,11144.49,Nieuw Annerveen,53.072,6.787,3,1.7,manual
20020510,103348.95,Bierum,53.378,6.857,3,1.7,manual
20020511,100723.22,Ekehaar,52.943,6.58,3,1.5,manual
20020522,133813.04,Eleveld,52.956,6.585,3,1,manual
20020628,30647.38,Smilde,52.968,6.45,3,1.8,manual
20020718,53116.83,Froombosch,53.188,6.783,3,1.6,manual
20020727,150108.63,Geelbroek,52.947,6.565,3,1.6,manual
20020805,192810.16,Gasteren,53.055,6.657,3,0.9,manual
20020829,211322.74,Luddeweer,53.247,6.747,3,0,manual
20020905,21.45,Beerze,52.508,6.563,3,0.9,manual
20020906,60705.5,Borgercompagnie,53.112,6.842,3,0.6,manual
20020922,71333.43,Schipborg,53.056,6.68,3,0.6,manual
20020922,73013.81,Taarlo,53.035,6.638,3,0.5,manual
20021012,23213.63,Borgercompagnie,53.106,6.815,3,0.9,manual
20021014,234522.51,Roswinkel,52.834,7.045,2,0.9,manual
20021019,180339.43,Nieuw Annerveen,53.068,6.768,1.8,1.3,manual
20021214,1324.62,Dalerveen,52.676,6.832,3,1.4,manual
20021216,122339.09,Zuidlaren,53.092,6.718,3,1.4,manual
20021217,2318.74,Tjuchem,53.291,6.86,3,0.9,manual
20021218,203109.15,Zuidbroek,53.175,6.847,3,0.8,manual
20021224,25722.58,Roswinkel,52.833,7.042,2,1.4,manual
20030101,191615.31,Loppersum,53.337,6.743,3,1,manual
20030113,24545.5,Ravenswoud,52.971,6.413,3,1.7,manual
20030118,181243.32,Ten Post,53.287,6.77,3,1,manual
20030123,74616.66,Garrelsweer,53.307,6.752,3,1.6,manual
20030130,12730.24,Leermens,53.342,6.793,3,1.5,manual
20030131,152047.78,Slochteren,53.232,6.782,3,0.3,manual
20030202,93223.69,Ekehaar,52.95,6.588,3,2,manual
20030206,192524.91,Overschild,53.259,6.768,3,0.3,manual
20030211,192949.56,Zeerijp,53.352,6.773,3,1.3,manual
20030212,62220.02,Hellum,53.262,6.812,3,0.8,manual
20030214,65424.14,Boelenslaan,53.146,6.122,3,1.8,manual
20030228,215418.19,Loppersum,53.355,6.73,3,0.7,manual
20030303,205121.89,Middelstum,53.36,6.662,3,2.2,manual
20030306,201518.67,Kiel-Windeweer,53.141,6.753,3,0.9,manual
20030309,53126.7,Kantens,53.372,6.64,3,1.1,manual
20030323,160003.1,Uithuizermeeden,53.457,6.783,3,1.5,manual
20030329,210901.44,Lageland,53.237,6.682,3,0.4,manual
20030401,2552.09,Krewerd,53.364,6.852,3,0.3,manual
20030402,201948.74,Westeremden,53.34,6.718,3,1.9,manual
20030405,164948.33,Groningen,53.209,6.63,3,0.3,manual
20030406,750.7,Overschild,53.272,6.795,3,0.1,manual
20030406,5727.9,Froombosch,53.205,6.75,3,1,manual
20030406,230204.37,Froombosch,53.206,6.763,3,0.7,manual
20030416,162042.53,Overschild,53.281,6.775,3,0.7,manual
20030418,235955,Slochteren,53.238,6.753,3,0,manual
20030420,1939.19,Overschild,53.246,6.75,3,0.1,manual
20030428,215611.33,Woltersum,53.283,6.727,3,1,manual
20030429,25504.92,Woltersum,53.284,6.73,3,1.3,manual
20030514,205215.91,Siddeburen,53.254,6.865,3,0.8,manual
20030514,222346.52,Hellum,53.257,6.847,3,0.8,manual
20030521,45709.24,Annen,53.072,6.765,3,1.1,manual
20030523,25950.86,Wildervank,53.084,6.823,3,0.6,manual
20030531,231225.73,Siddeburen,53.247,6.875,3,0.8,manual
20030603,161538.91,Westeremden,53.337,6.683,3,1.5,manual
20030606,142716.47,Harkstede,53.225,6.682,3,0.7,manual
20030608,53047.24,Froombosch,53.192,6.788,3,1,manual
20030608,81416.55,Woltersum,53.271,6.737,3,1.5,manual
20030616,4417.12,Ravenswoud,52.963,6.407,2.6,2.3,manual
20030805,184508.49,Assen,52.975,6.558,3,1.1,manual
20030807,82421.12,Zeerijp,53.349,6.758,3,1.7,manual
20030807,105639.85,Zeerijp,53.345,6.748,3,1.3,manual
20030820,84614.99,Borgercompagnie,53.106,6.815,3,0.5,manual
20030825,42455,Kiel-Windeweer,53.108,6.792,3,0.7,manual
20030825,100535.89,Hoogezand,53.108,6.795,3,0.9,manual
20030922,175011.5,Uithuizen,53.395,6.688,3,2.4,manual
20030927,135754.15,Westeremden,53.348,6.697,3,2.7,manual
20031011,114408.34,Roswinkel,52.835,7.055,2,1.6,manual
20031024,15241.16,Garrelsweer,53.295,6.792,3,3,manual
20031026,91700.14,Garrelsweer,53.304,6.788,3,1.2,manual
20031029,143009.26,Froombosch,53.192,6.783,3,1,manual
20031110,2238.03,Stedum,53.325,6.69,3,3,manual
20031110,24055.01,Westeremden,53.349,6.71,3,1.4,manual
20031116,200411.48,Westeremden,53.344,6.702,3,2.7,manual
20031226,100958.93,Wirdum,53.32,6.802,3,1.4,manual
20031226,170510.76,Oud Annerveen,53.084,6.755,3,-0.6,manual
20031228,42918.29,Oud Annerveen,53.08,6.762,3,-0.3,manual
20031229,130959.31,Delfzijl,53.343,6.938,3,1.5,manual
20040112,10547.91,Kolham,53.189,6.745,3,1.6,manual
20040124,135344.54,Woltersum,53.271,6.72,3,1,manual
20040130,114740.99,Appingedam,53.314,6.868,3,1.2,manual
20040307,71830.45,Veendam,53.103,6.845,3,0.2,manual
20040308,14116.41,Meedhuizen,53.292,6.895,3,0.4,manual
20040316,234941.24,Veendam,53.09,6.88,3,1,manual
20040321,170544.58,Wagenborgen,53.255,6.918,3,1.4,manual
20040326,23245.52,Siddeburen,53.273,6.862,3,0.5,manual
20040415,45023.62,Eexterzandvoort,53.041,6.8,3,1,manual
20040430,221243.89,Scharmer,53.23,6.712,3,0.5,manual
20040524,50313.44,Wetsinge,53.31,6.525,3,1.4,manual
20040529,210642.27,Winsum,53.308,6.508,3,0.8,manual
20040531,5919.96,Winsum,53.313,6.518,3,0.3,manual
20040610,11326.72,Zandeweer,53.391,6.663,3,2.1,manual
20040621,233202.76,Geelbroek,52.944,6.568,3,2.8,manual
20040727,224945.94,Appingedam,53.343,6.875,3,1.2,manual
20040821,10632.82,Sappemeer,53.163,6.793,3,1.8,manual
20040822,25601.13,Ekehaar,52.946,6.585,3,1,manual
20040906,203120.28,Roswinkel,52.834,7.048,2,1,manual
20040910,15644.91,Schipborg,53.064,6.67,3,0.4,manual
20040918,33312.38,Uithuizermeeden,53.416,6.703,3,1.2,manual
20040922,124433,Winneweer,53.311,6.743,3,1.5,manual
20041008,132342.72,Wildervank,53.076,6.833,2.5,1.3,manual
20041030,114052.88,'t Zandt,53.356,6.778,3,1.4,manual
20041031,172721.88,Marwijksoord,52.952,6.633,3,0.9,manual
20041113,121557.32,Overschild,53.291,6.802,3,1.2,manual
20041123,221310.36,Borgercompagnie,53.116,6.82,3,0.3,manual
20041124,181857.95,Ten Post,53.289,6.753,3,1.9,manual
20041125,142554.43,Froombosch,53.194,6.772,3,0.6,manual
20041126,65801.52,Loppersum,53.314,6.737,3,1.6,manual
20041216,211430.2,Harkstede,53.231,6.652,3,0.8,manual
20050109,235938.53,Wirdum,53.323,6.797,3,1.7,manual
20050117,55.58,Appingedam,53.317,6.808,3,1.1,manual
20050130,23134.04,Ten Boer,53.277,6.692,3,1,manual
20050208,132033.86,Middelstum,53.316,6.638,3,2.3,manual
20050215,192111.01,Ekehaar,52.955,6.605,3,1,manual
20050216,104617.86,Roodeschool,53.404,6.793,3,1.3,manual
20050218,112629.87,Zuidlaren,53.081,6.673,3,0.6,manual
20050218,125546.58,Loppersum,53.34,6.735,3,1.3,manual
20050218,184925.65,Woudbloem,53.231,6.75,3,0.5,manual
20050218,220552.17,Lageland,53.239,6.727,3,1.6,manual
20050220,60324.65,Sappemeer,53.176,6.795,3,0,manual
20050225,34609.86,Oosterwijtwerd,53.336,6.812,3,1.6,manual
20050301,163159.41,Delfzijl,53.326,6.922,3,1.2,manual
20050308,230058.53,Wagenborgen,53.261,6.915,3,0.9,manual
20050310,20439.78,Oosterwijtwerd,53.342,6.81,3,2,manual
20050321,105833.93,Overschild,53.257,6.767,3,0.9,manual
20050321,232119.98,Buren,53.457,5.85,3,1.8,manual
20050402,232108.74,Overschild,53.27,6.798,3,1.2,manual
20050418,191116.59,Schildwolde,53.264,6.803,3,1,manual
20050421,204921.64,Tjuchem,53.291,6.885,3,0.9,manual
20050422,1449.67,Appingedam,53.334,6.858,3,0.8,manual
20050430,192802.72,Huizinge,53.359,6.7,3,1,manual
20050517,85014.19,Siddeburen,53.232,6.893,3,1,manual
20050525,213346.22,Noordbroek,53.194,6.85,3,1.1,manual
20050528,195757.64,Morra,53.374,6.088,3,1.4,manual
20050530,153645.87,Westeremden,53.343,6.71,3,2.3,manual
20050622,160202.05,Oosterwijtwerd,53.33,6.818,3,1.5,manual
20050709,170137.49,Lageland,53.238,6.685,3,1.1,manual
20050717,180707.83,Garrelsweer,53.319,6.747,3,1.8,manual
20050725,32158.98,Scharmer,53.212,6.712,3,0.8,manual
20050805,192302.02,Sappemeer,53.17,6.81,3,2.2,manual
20050910,20511.67,Garrelsweer,53.316,6.772,3,1.2,manual
20051005,91602.95,Westerwijtwerd,53.331,6.642,3,1.7,manual
20051012,160642.53,Smilde,52.963,6.45,3,2.5,manual
20051023,170338.08,Middelstum,53.366,6.675,3,1.9,manual
20051111,170229.54,Harkstede,53.224,6.697,3,1.4,manual
20060102,120045.67,Lageland,53.236,6.695,3,1.1,manual
20060110,234106.14,Eleveld,52.956,6.572,3,2.6,manual
20060114,222954.76,Sappemeer,53.177,6.767,3,0.3,manual
20060118,81246.65,Ten Post,53.29,6.765,3,1.5,manual
20060118,220815.79,Overschild,53.274,6.773,3,1.6,manual
20060120,202250.1,Loppersum,53.336,6.74,3,1.3,manual
20060123,111739.96,Lageland,53.237,6.697,3,1.9,manual
20060128,30042.03,Godlinze,53.38,6.818,3,1.1,manual
20060129,182653.14,Eleveld,52.952,6.58,3,1.1,manual
20060211,200135.92,Hellum,53.256,6.847,3,1.3,manual
20060212,143638.63,Garrelsweer,53.297,6.795,3,1.5,manual
20060224,45030.03,Wirdum,53.312,6.788,3,1.3,manual
20060304,43233.96,Hoogezand,53.144,6.742,3,1.8,manual
20060321,145033.7,Garrelsweer,53.302,6.755,3,2.4,manual
20060323,31223.91,Overschild,53.283,6.778,3,2.2,manual
20060325,135438.14,Roswinkel,52.834,7.045,2,2.1,manual
20060325,135551.17,Roswinkel,52.834,7.043,2,1.7,manual
