"","X","Datetime","Easting","Northing","Depth","Magnitude","Date","V","Year"
"155",299,"28/02/2003 21:54:18",244409,597327,3,0.703721,"2003-02-28",3.23704674029386,2003
"156",300,"03/03/2003 20:51:22",239848,597856,3,2.17023,"2003-03-03",1.24062950376232,2003
"157",301,"06/03/2003 20:15:19",246414,573543,3,0.944801,"2003-03-06",5.42315530573169,2003
"158",302,"09/03/2003 05:31:27",238383,599111,3,1.06472,"2003-03-09",2.11763444102633,2003
"159",303,"23/03/2003 16:00:03",247738,608801,3,1.47976,"2003-03-23",10.2132878520542,2003
"160",304,"29/03/2003 21:09:01",241425,584212,3,0.41871,"2003-03-29",4.84725174448639,2003
"161",305,"01/04/2003 00:25:52",252489,598469,3,0.34874,"2003-04-01",5.1026139283373,2003
"162",306,"02/04/2003 20:19:49",243663,595643,3,1.89711,"2003-04-02",4.7520175592137,2003
"163",307,"05/04/2003 16:49:48",238030,580998,3,0.32744,"2003-04-05",7.05020983090012,2003
"164",308,"06/04/2003 00:07:51",248918,588137,3,0.0701034,"2003-04-06",8.07851172820859,2003
"165",309,"06/04/2003 00:57:28",246057,580624,3,1.03432,"2003-04-06",1.05722637200927,2003
"166",310,"06/04/2003 23:02:04",246944,580808,3,0.706922,"2003-04-06",1.87683280554758,2003
"167",311,"16/04/2003 16:20:43",247562,589205,3,0.683295,"2003-04-16",8.54503196587794,2003
"168",312,"18/04/2003 23:59:55",246208,584375,3,0.00371037,"2003-04-18",3.53161029985554,2003
"169",313,"20/04/2003 00:19:39",245968,585297,3,0.0989494,"2003-04-20",4.3600284281142,2003
"170",314,"28/04/2003 21:56:11",244334,589385,3,0.998827,"2003-04-28",8.38991649262286,2003
"171",315,"29/04/2003 02:55:05",244556,589408,3,1.28376,"2003-04-29",8.3960485029124,2003
"172",316,"14/05/2003 20:52:16",253628,586247,3,0.755569,"2003-05-14",10.0150072111636,2003
"173",317,"14/05/2003 22:23:47",252398,586537,3,0.772504,"2003-05-14",9.15950189239334,2003
"174",320,"31/05/2003 23:12:26",254311,585499,3,0.773853,"2003-05-31",10.2564906083038,2003
"175",321,"03/06/2003 16:15:39",241338,595230,3,1.45067,"2003-06-03",2.98573067218631,2003
"176",322,"06/06/2003 14:27:16",241450,582821,3,0.680869,"2003-06-06",4.0486569042182,2003
"177",323,"08/06/2003 05:30:47",248645,579263,3,1.01581,"2003-06-08",3.97801168413031,2003
"178",324,"08/06/2003 08:14:17",245028,587988,3,1.46814,"2003-06-08",6.95986734563137,2003
"179",327,"07/08/2003 08:24:21",246306,596770,3,1.65577,"2003-08-07",2.1204865220683,2003
"180",328,"07/08/2003 10:56:40",245651,596219,3,1.30244,"2003-08-07",2.9421292624708,2003
"181",329,"20/08/2003 08:46:15",250616,569784,3,0.501404,"2003-08-20",4.42597098913663,2003
"182",330,"25/08/2003 04:24:55",249051,569903,3,0.708593,"2003-08-25",3.10008540638283,2003
"183",331,"25/08/2003 10:05:36",249274,569907,3,0.895584,"2003-08-25",3.28722434000772,2003
"184",332,"22/09/2003 17:50:11",241553,601765,3,2.36394,"2003-09-22",5.40450929203997,2003
"185",333,"27/09/2003 13:57:54",242203,596507,3,2.71257,"2003-09-27",3.34968977833053,2003
"186",335,"24/10/2003 01:52:41",248644,590748,3,2.95329,"2003-10-24",7.30575916224567,2003
"187",336,"26/10/2003 09:17:00",248402,591745,3,1.21564,"2003-10-26",6.28911819716615,2003
"188",337,"29/10/2003 14:30:09",248311,579239,3,0.984998,"2003-10-29",3.69325348375397,2003
"189",338,"10/11/2003 00:22:38",241805,593995,3,2.98611,"2003-11-10",4.00995071141439,2003
"190",339,"10/11/2003 02:40:55",243089,596673,3,1.42764,"2003-11-10",3.09494536895634,2003
"191",340,"16/11/2003 20:04:11",242545,596050,3,2.66986,"2003-11-16",3.78274246446033,2003
"192",341,"26/12/2003 10:09:59",249257,593506,3,1.41197,"2003-12-26",5.18339509623072,2003
"193",344,"29/12/2003 13:09:59",258308,596271,3,1.46893,"2003-12-29",11.1643789773881,2003
"194",345,"12/01/2004 01:05:48",245756,578856,3,1.57855,"2004-01-12",2.27503614098106,2004
"195",346,"24/01/2004 13:53:45",243916,587986,3,0.952689,"2004-01-24",7.05439099921652,2004
"196",347,"30/01/2004 11:47:41",253712,592947,3,1.16875,"2004-01-30",8.47817724075346,2004
"197",349,"08/03/2004 01:41:16",255539,590609,3,0.43661,"2004-03-08",11.4103427116068,2004
"198",351,"21/03/2004 17:05:45",257184,586469,3,1.43995,"2004-03-21",13.2704267986649,2004
"199",352,"26/03/2004 02:32:46",253362,588356,3,0.481603,"2004-03-26",11.0582053644031,2004
"200",354,"30/04/2004 22:12:44",243444,583395,3,0.505549,"2004-04-30",2.87716970767946,2004
"201",358,"10/06/2004 01:13:27",239900,601216,3,2.14504,"2004-06-10",4.27767512929726,2004
"202",360,"27/07/2004 22:49:46",254089,596237,3,1.15971,"2004-07-27",7.10342898197338,2004
"203",361,"21/08/2004 01:06:33",249041,576117,3,1.79544,"2004-08-21",6.30947843996228,2004
"204",365,"18/09/2004 03:33:12",242509,604065,3,1.1795,"2004-09-18",7.33067092472097,2004
"205",366,"22/09/2004 12:44:33",245387,592503,3,1.54218,"2004-09-22",5.11729611147331,2004
"206",368,"30/10/2004 11:40:53",247624,597537,3,1.35683,"2004-10-30",1.08276633631967,2004
"207",370,"13/11/2004 12:15:57",249321,590260,3,1.1707,"2004-11-13",8.01559638216831,2004
