"","Datetime","Easting","Northing","Depth","Magnitude","Date"
"231","16/07/2000 01:34:12",247823,598691,3,1.54013,"2000-07-16"
"232","22/09/2000 17:05:17",251019,566379,3,0.976643,"2000-09-22"
"233","22/09/2000 20:52:06",249219,567012,3,2.15718,"2000-09-22"
"234","23/09/2000 03:47:47",248886,566894,3,0.95893,"2000-09-23"
"235","25/10/2000 18:10:35",267168,539583,2,3.2,"2000-10-25"
"236","12/11/2000 02:16:36",237020,555176,3,0.313732,"2000-11-12"
"237","29/11/2000 16:06:48",246709,516209,3,1.63308,"2000-11-29"
"238","23/12/2000 05:20:06",250389,569966,3,0.361494,"2000-12-23"
"239","26/12/2000 16:33:58",256535,590834,3,1.37681,"2000-12-26"
"240","26/02/2001 11:39:07",251138,566010,3,0.768927,"2001-02-26"
"241","18/03/2001 04:14:21",242081,584872,3,1.60503,"2001-03-18"
"242","28/04/2001 10:00:08",234275,551885,3,1.54393,"2001-04-28"
"243","28/04/2001 10:00:56",234815,553099,3,1.07788,"2001-04-28"
"244","28/04/2001 23:00:16",267277,539735,2,2.36289,"2001-04-28"
"245","17/05/2001 07:48:15",236874,576952,3,1.41032,"2001-05-17"
"246","10/06/2001 03:35:33",246608,563325,3,0.483995,"2001-06-10"
"247","19/06/2001 06:49:56",251012,566731,3,0.965124,"2001-06-19"
"248","21/06/2001 03:50:49",249199,590795,3,1.72869,"2001-06-21"
"249","07/08/2001 17:09:01",252646,568786,3,0.324826,"2001-08-07"
"250","09/09/2001 06:58:13",109398,518381,2,3.47526,"2001-09-09"
"251","10/09/2001 04:30:15",109298,518561,2,3.2,"2001-09-10"
"252","10/10/2001 06:41:09",105034,521855,3,2.7,"2001-10-10"
"253","10/10/2001 14:06:43",246874,584480,3,0.988622,"2001-10-10"
"254","10/10/2001 14:06:57",246873,584554,3,0.75,"2001-10-10"
"255","12/11/2001 14:33:15",286413,636120,3,1.35607,"2001-11-12"
"256","04/12/2001 19:08:31",248396,580632,3,0.187508,"2001-12-04"
"257","04/12/2001 19:08:38",248396,580632,3,-0.0122967,"2001-12-04"
"258","04/12/2001 22:33:38",245600,581210,3,1.01853,"2001-12-04"
"259","11/12/2001 15:17:18",248592,582027,3,0.706079,"2001-12-11"
"260","20/12/2001 01:25:43",252236,566941,3,0.471547,"2001-12-20"
"261","25/12/2001 23:28:12",241106,601980,3,1.14013,"2001-12-25"
"262","26/12/2001 12:36:53",250055,564226,3,-0.214278,"2001-12-26"
"263","05/02/2002 10:30:40",243595,593323,3,2.21446,"2002-02-05"
"264","14/02/2002 17:01:05",266046,539521,2,2.06673,"2002-02-14"
"265","27/02/2002 03:52:14",250884,595467,3,1.13795,"2002-02-27"
