#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
NL,1982,,BHZ,50.86939,6.08469,145,0,0,-90,STS-2,629145000,1,M/S,40,10/12/2007 00:00,17/04/2015 00:00
NL,ALK1,,HG1,52.633821,4.744356,1,0,0,0,EpiS,427819.209,1,M/S**2,200,19/11/2019 00:00,31/12/2599 23:59
NL,ALK1,,HG2,52.633821,4.744356,1,0,90,0,EpiS,427819.209,1,M/S**2,200,19/11/2019 00:00,31/12/2599 23:59
NL,ALK1,,HGZ,52.633821,4.744356,1,0,0,-90,EpiS,427819.209,1,M/S**2,200,19/11/2019 00:00,31/12/2599 23:59
NL,ALK2,,HG1,52.65104,4.723407,-1,0,0,0,EpiS,427819.209,1,M/S**2,200,24/07/2019 00:00,31/12/2599 23:59
NL,ALK2,,HG2,52.65104,4.723407,-1,0,90,0,EpiS,427819.209,1,M/S**2,200,24/07/2019 00:00,31/12/2599 23:59
NL,ALK2,,HGZ,52.65104,4.723407,-1,0,0,-90,EpiS,427819.209,1,M/S**2,200,24/07/2019 00:00,31/12/2599 23:59
NL,ANDK,,HG1,52.747514,5.216375,-1.8,0,0,0,EpiS,427818.9825,1,M/S**2,200,12/05/2023 00:00,31/12/2599 23:59
NL,ANDK,,HG2,52.747514,5.216375,-1.8,0,90,0,EpiS,427818.9825,1,M/S**2,200,12/05/2023 00:00,31/12/2599 23:59
NL,ANDK,,HGZ,52.747514,5.216375,-1.8,0,0,-90,EpiS,427818.9825,1,M/S**2,200,12/05/2023 00:00,31/12/2599 23:59
NL,ARCN,,BHE,51.5013,6.1942,0,0,90,0,CMG3ES,685501000,1,M/S,40,23/05/2018 00:00,31/12/2599 23:59
NL,ARCN,,BHN,51.5013,6.1942,0,0,0,0,CMG3ES,680154000,1,M/S,40,23/05/2018 00:00,31/12/2599 23:59
NL,ARCN,,BHZ,51.5013,6.1942,0,0,0,-90,CMG3ES,688525000,1,M/S,40,23/05/2018 00:00,31/12/2599 23:59
NL,ASS1,,HG1,52.977799,6.557414,9.5,0,0,0,EpiS,427819.209,1,M/S**2,200,14/04/2020 00:00,31/12/2599 23:59
NL,ASS1,,HG2,52.977799,6.557414,9.5,0,90,0,EpiS,427819.209,1,M/S**2,200,14/04/2020 00:00,31/12/2599 23:59
NL,ASS1,,HGZ,52.977799,6.557414,9.5,0,0,-90,EpiS,427819.209,1,M/S**2,200,14/04/2020 00:00,31/12/2599 23:59
NL,ASS2,,HG1,53.01428,6.570557,12,0,0,0,EpiS,427819.209,1,M/S**2,200,24/04/2020 00:00,31/12/2599 23:59
NL,ASS2,,HG2,53.01428,6.570557,12,0,90,0,EpiS,427819.209,1,M/S**2,200,24/04/2020 00:00,31/12/2599 23:59
NL,ASS2,,HGZ,53.01428,6.570557,12,0,0,-90,EpiS,427819.209,1,M/S**2,200,24/04/2020 00:00,31/12/2599 23:59
NL,BAPP,,CPU,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,1,0,PERCENT,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,DEG,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,1,0,CELSIUS,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,HGE,53.31482,6.83539,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,HGN,53.31482,6.83539,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,HGZ,53.31482,6.83539,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,HUM,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,1,0,PERCENT,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,LCE,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,1000000,0,S,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,LCQ,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,1,0,PERCENT,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,VEC,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,1000,0,A,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,VEP,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,6.66667,0,V,1,07/10/2013 00:00,31/12/2599 23:59
NL,BAPP,,VVB,53.31482,6.83539,0,0,0,0,Rock/Etna digitizer Kinemetrics,6.66667,0,V,1,07/10/2013 00:00,31/12/2599 23:59
NL,BBER,,HGE,52.661427,4.7045,2,0,90,0,EpiS,213867.4766,1,M/S**2,200,04/12/2017 00:00,21/05/2019 00:00
NL,BBER,,HGN,52.661427,4.7045,2,0,0,0,EpiS,213867.4766,1,M/S**2,200,04/12/2017 00:00,21/05/2019 00:00
NL,BBER,,HGZ,52.661427,4.7045,2,0,0,-90,EpiS,213867.4766,1,M/S**2,200,04/12/2017 00:00,21/05/2019 00:00
NL,BER1,,HG1,52.661396,4.703678,1,0,0,0,EpiS,427819.209,1,M/S**2,200,18/11/2019 00:00,31/12/2599 23:59
NL,BER1,,HG2,52.661396,4.703678,1,0,90,0,EpiS,427819.209,1,M/S**2,200,18/11/2019 00:00,31/12/2599 23:59
NL,BER1,,HGZ,52.661396,4.703678,1,0,0,-90,EpiS,427819.209,1,M/S**2,200,18/11/2019 00:00,31/12/2599 23:59
NL,BER2,,HG1,52.6478,4.714988,-1,0,0,0,EpiS,427819.209,1,M/S**2,200,25/07/2019 00:00,31/12/2599 23:59
NL,BER2,,HG2,52.6478,4.714988,-1,0,90,0,EpiS,427819.209,1,M/S**2,200,25/07/2019 00:00,31/12/2599 23:59
NL,BER2,,HGZ,52.6478,4.714988,-1,0,0,-90,EpiS,427819.209,1,M/S**2,200,25/07/2019 00:00,31/12/2599 23:59
NL,BFB2,,HGE,53.18751,6.76549,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,31/12/2599 23:59
NL,BFB2,,HGN,53.18751,6.76549,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,31/12/2599 23:59
NL,BFB2,,HGZ,53.18751,6.76549,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,31/12/2599 23:59
NL,BGAR,,HGE,53.36786,6.71359,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,01/01/2017 00:00
NL,BGAR,,HGE,53.36786,6.71359,1,0,90,0,EpiS,213867.4766,1,M/S**2,100,01/01/2017 00:00,15/12/2017 09:01
NL,BGAR,,HGE,53.36786,6.71359,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,15/12/2017 09:01,31/12/2599 23:59
NL,BGAR,,HGN,53.36786,6.71359,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,01/01/2017 00:00
