"","X","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"515",847,"NL","G144","HHZ",53.358604,6.770835,2,200,"11/02/2015 00:00","31/12/2599 23:59",247119.2125,597798.5977,2015-02-11,2599-12-31
"522",862,"NL","G164","HHZ",53.338528,6.531397,2,200,"17/09/2015 00:00","31/12/2599 23:59",231214.4728,595284.4279,2015-09-17,2599-12-31
"529",877,"NL","G174","HHZ",53.336197,6.636346,2,200,"29/04/2015 00:00","31/12/2599 23:59",238209.1548,595141.2719,2015-04-29,2599-12-31
"536",892,"NL","G184","HHZ",53.330624,6.721702,2,200,"18/09/2015 00:00","31/12/2599 23:59",243906.0488,594623.1669,2015-09-18,2599-12-31
"543",907,"NL","G194","HHZ",53.337814,6.817032,2,200,"18/09/2015 00:00","31/12/2599 23:59",250240.6091,595545.2317,2015-09-18,2599-12-31
"550",922,"NL","G204","HHZ",53.335297,6.895165,2,200,"28/05/2015 00:00","31/12/2599 23:59",255450.3925,595371.375,2015-05-28,2599-12-31
"557",937,"NL","G214","HHZ",53.313374,6.593737,2,200,"17/09/2015 00:00","31/12/2599 23:59",235413.6028,592553.0377,2015-09-17,2599-12-31
"564",952,"NL","G224","HHZ",53.31035,6.677621,2,200,"10/02/2015 00:00","31/12/2599 23:59",241009.9848,592313.4984,2015-02-10,2599-12-31
"953",1744,"NL","G81B","LCE",53.31035,6.677621,-0.4,100,"29/08/2018 00:00","31/12/2599 23:59",241009.9848,592313.4984,2018-08-29,2599-12-31
"571",967,"NL","G234","HHZ",53.30949,6.767527,2,200,"16/02/2015 00:00","31/12/2599 23:59",247003.8257,592328.9726,2015-02-16,2599-12-31
"578",982,"NL","G244","HHZ",53.289974,6.856169,2,200,"12/11/2014 00:00","31/12/2599 23:59",252955.9283,590274.2394,2014-11-12,2599-12-31
"585",997,"NL","G254","HHZ",53.308117,6.943312,2,200,"12/05/2017 00:00","31/12/2599 23:59",258722.6842,592415.1863,2017-05-12,2599-12-31
"592",1012,"NL","G264","HHZ",53.28208,6.545806,2,200,"22/10/2015 00:00","31/12/2599 23:59",232275.3181,589018.0716,2015-10-22,2599-12-31
"599",1027,"NL","G274","HHZ",53.28318,6.628118,2,200,"27/11/2015 00:00","31/12/2599 23:59",237762.8192,589231.9711,2015-11-27,2599-12-31
"606",1042,"NL","G284","HHZ",53.27221,6.729164,2,200,"28/03/2016 00:00","31/12/2599 23:59",244524.3302,588132.1396,2016-03-28,2599-12-31
"613",1057,"NL","G294","HHZ",53.281406,6.786966,2,200,"22/09/2015 00:00","31/12/2599 23:59",248360.1713,589228.8659,2015-09-22,2599-12-31
"620",1072,"NL","G304","HHZ",53.27917,6.895145,2,200,"23/10/2014 00:00","31/12/2599 23:59",255579.9145,589125.7619,2014-10-23,2599-12-31
"627",1089,"NL","G314","HHZ",53.296196,7.021759,-0.4,200,"27/11/2015 00:00","04/08/2020 20:29",263981.0995,591204.5951,2015-11-27,2020-08-04
"628",1090,"NL","G314","HHZ",53.296196,7.021759,-0.4,200,"26/08/2021 11:39","31/12/2599 23:59",263981.0995,591204.5951,2021-08-26,2599-12-31
"635",1105,"NL","G324","HHZ",53.24981,6.57919,2,200,"27/11/2015 00:00","31/12/2599 23:59",234561.2514,585463.3871,2015-11-27,2599-12-31
"642",1120,"NL","G334","HHZ",53.24991,6.670763,2,200,"22/01/2016 00:00","31/12/2599 23:59",240672.8336,585579.5799,2016-01-22,2599-12-31
"649",1135,"NL","G344","HHZ",53.25252,6.76508,2,200,"23/10/2014 00:00","31/12/2599 23:59",246962.0795,585986.3499,2014-10-23,2599-12-31
"656",1150,"NL","G354","HHZ",53.254936,6.862136,2,200,"04/04/2017 00:00","31/12/2599 23:59",253433.671,586383.5079,2017-04-04,2599-12-31
"663",1165,"NL","G364","HHZ",53.26505,6.924454,2,200,"07/12/2015 00:00","31/12/2599 23:59",257568.1765,587595.918,2015-12-07,2599-12-31
"670",1180,"NL","G374","HHZ",53.273952,7.035,2,200,"02/12/2015 00:00","31/12/2599 23:59",264920.4732,588749.5934,2015-12-02,2599-12-31
"677",1195,"NL","G384","HHZ",53.200512,6.547563,2,200,"11/04/2016 00:00","31/12/2599 23:59",232538.7673,579943.0264,2016-04-11,2599-12-31
"684",1210,"NL","G394","HHZ",53.22525,6.724121,2,200,"24/10/2014 00:00","31/12/2599 23:59",244284.9564,582900.2906,2014-10-24,2599-12-31
"957",1768,"NL","G82B","LCE",53.22525,6.724121,-1.9,100,"14/08/2018 00:00","31/12/2599 23:59",244284.9564,582900.2906,2018-08-14,2599-12-31
"691",1225,"NL","G404","HHZ",53.22501,6.809874,2,200,"24/10/2014 00:00","31/12/2599 23:59",250011.934,582983.3038,2014-10-24,2599-12-31
"698",1240,"NL","G414","HHZ",53.223434,6.891867,2,200,"22/09/2015 00:00","31/12/2599 23:59",255490.9024,582919.2229,2015-09-22,2599-12-31
"705",1255,"NL","G424","HHZ",53.221687,6.988649,2,200,"11/02/2015 00:00","31/12/2599 23:59",261958.2216,582864.2158,2015-02-11,2599-12-31
"712",1270,"NL","G434","HHZ",53.231853,7.079074,2,200,"25/06/2015 00:00","31/12/2599 23:59",267970.2483,584133.451,2015-06-25,2599-12-31
"719",1285,"NL","G444","HHZ",53.204193,6.683958,2,200,"11/02/2015 00:00","31/12/2599 23:59",241645.0933,580508.0868,2015-02-11,2599-12-31
"726",1300,"NL","G454","HHZ",53.199535,6.764478,2,200,"23/10/2014 00:00","31/12/2599 23:59",247034.6653,580089.6325,2014-10-23,2599-12-31
"733",1315,"NL","G464","HHZ",53.19783,6.849796,2,200,"31/10/2014 00:00","31/12/2599 23:59",252739.2649,580012.2974,2014-10-31,2599-12-31
"740",1330,"NL","G474","HHZ",53.19635,6.941322,2,200,"28/03/2016 00:00","31/12/2599 23:59",258858.5021,579975.6901,2016-03-28,2599-12-31
"747",1345,"NL","G484","HHZ",53.19726,7.028954,2,200,"21/06/2016 00:00","31/12/2599 23:59",264711.7735,580206.8541,2016-06-21,2599-12-31
"754",1360,"NL","G494","HHZ",53.17647,6.730598,2,200,"23/10/2014 00:00","31/12/2599 23:59",244818.7241,577480.3161,2014-10-23,2599-12-31
"761",1375,"NL","G504","HHZ",53.174526,6.809343,2,200,"28/08/2015 00:00","31/12/2599 23:59",250087.3922,577365.0517,2015-08-28,2599-12-31
"768",1390,"NL","G514","HHZ",53.1732,6.88481,2,200,"11/02/2015 00:00","31/12/2599 23:59",255135.8618,577319.7528,2015-02-11,2599-12-31
"775",1405,"NL","G524","HHZ",53.16989,6.983663,2,200,"12/02/2015 00:00","31/12/2599 23:59",261752.9986,577093.3829,2015-02-12,2599-12-31
"782",1420,"NL","G534","HHZ",53.167362,7.08012,2,200,"29/10/2015 00:00","31/12/2599 23:59",268208.751,576959.3408,2015-10-29,2599-12-31
"789",1435,"NL","G544","HHZ",53.124283,6.757957,2,200,"15/09/2015 00:00","31/12/2599 23:59",246758.2624,571707.7562,2015-09-15,2599-12-31
"796",1450,"NL","G554","HHZ",53.143345,6.846056,2,200,"12/02/2015 00:00","31/12/2599 23:59",252612.1318,573944.5712,2015-02-12,2599-12-31
"803",1465,"NL","G564","HHZ",53.14844,6.930871,2,200,"12/02/2015 00:00","31/12/2599 23:59",258274.3922,574629.7178,2015-02-12,2599-12-31
"961",1792,"NL","G83B","LCE",53.14844,6.930871,-1.1,100,"14/08/2018 00:00","31/12/2599 23:59",258274.3922,574629.7178,2018-08-14,2599-12-31
"810",1480,"NL","G574","HHZ",53.13513,7.022222,2,200,"12/02/2015 00:00","31/12/2599 23:59",264418.853,573283.5557,2015-02-12,2599-12-31
"817",1495,"NL","G584","HHZ",53.110264,6.907052,2,200,"30/06/2015 00:00","31/12/2599 23:59",256770.6126,570348.029,2015-06-30,2599-12-31
"824",1510,"NL","G594","HHZ",53.116028,6.987698,2,200,"04/12/2015 00:00","31/12/2599 23:59",262155.9084,571106.2632,2015-12-04,2599-12-31
"831",1525,"NL","G604","HHZ",53.297935,7.075193,2,200,"28/08/2015 00:00","31/12/2599 23:59",267538.7323,591480.3133,2015-08-28,2599-12-31
"838",1540,"NL","G614","HHZ",53.381855,6.681333,2,200,"27/11/2015 00:00","31/12/2599 23:59",241114.2716,600275.16,2015-11-27,2599-12-31
"845",1555,"NL","G624","HHZ",53.38698,6.841949,2,200,"08/09/2015 00:00","31/12/2599 23:59",251789.5467,601049.6507,2015-09-08,2599-12-31
"852",1570,"NL","G634","HHZ",53.33143,6.910878,2,200,"15/09/2015 00:00","31/12/2599 23:59",256506.0921,594963.1148,2015-09-15,2599-12-31
"859",1585,"NL","G644","HHZ",53.220726,7.038012,2,200,"15/09/2015 00:00","31/12/2599 23:59",265257.161,582831.7239,2015-09-15,2599-12-31
"965",1816,"NL","G84B","LCE",53.220726,7.038012,0,100,"14/08/2018 00:00","31/12/2599 23:59",265257.161,582831.7239,2018-08-14,2599-12-31
"866",1600,"NL","G654","HHZ",53.169216,6.95428,2,200,"30/11/2015 00:00","31/12/2599 23:59",259790.047,576975.2505,2015-11-30,2599-12-31
"873",1615,"NL","G664","HHZ",53.179398,6.585236,2,200,"27/11/2015 00:00","31/12/2599 23:59",235095.1159,577634.714,2015-11-27,2599-12-31
"880",1630,"NL","G674","HHZ",53.32134,6.822783,2,200,"29/10/2015 00:00","31/12/2599 23:59",250660.2176,593719.6573,2015-10-29,2599-12-31
"887",1645,"NL","G684","HHZ",53.235077,6.63466,2,200,"16/09/2015 00:00","31/12/2599 23:59",238291.8534,583886.6282,2015-09-16,2599-12-31
"894",1660,"NL","G694","HHZ",53.212837,6.643776,2,200,"22/10/2015 00:00","31/12/2599 23:59",238943.6634,581422.3842,2015-10-22,2599-12-31
"901",1675,"NL","G704","HHZ",53.240704,6.537895,2,200,"28/04/2016 00:00","31/12/2599 23:59",231821.2967,584405.227,2016-04-28,2599-12-31
"902",1680,"NL","G710","HGE",53.148299,6.650657,2,0,"04/12/2017 00:00","29/01/2018 13:10",239529.2655,574248.8659,2017-12-04,2018-01-29
"903",1684,"NL","G710","LCE",53.148299,6.650657,2,0,"29/01/2018 13:10","31/12/2599 23:59",239529.2655,574248.8659,2018-01-29,2599-12-31
"908",1691,"NL","G720","HGE",53.246248,6.479189,2,0,"04/06/2018 00:00","10/09/2018 12:27",227892.8751,584961.144,2018-06-04,2018-09-10
"911",1689,"NL","G720","HG1",53.246248,6.479189,2,0,"10/09/2018 12:27","31/12/2599 23:59",227892.8751,584961.144,2018-09-10,2599-12-31
"913",1696,"NL","G730","HGE",53.271889,6.430106,2,0,"04/12/2017 00:00","29/01/2018 13:10",224575.2796,587765.9871,2017-12-04,2018-01-29
"916",1694,"NL","G730","HG1",53.271889,6.430106,2,0,"29/01/2018 13:10","31/12/2599 23:59",224575.2796,587765.9871,2018-01-29,2599-12-31
"918",1701,"NL","G740","HGE",53.304267,6.389409,2,0,"04/12/2017 00:00","29/01/2018 13:10",221810.2067,591330.6084,2017-12-04,2018-01-29
"921",1699,"NL","G740","HG1",53.304267,6.389409,2,0,"29/01/2018 13:10","31/12/2599 23:59",221810.2067,591330.6084,2018-01-29,2599-12-31
