,X.Network,Station,Location,Channel,Latitude,Longitude,Elevation,Depth,Azimuth,Dip,SensorDescription,Scale,ScaleFreq,ScaleUnits,SampleRate,StartTime,EndTime,End_date
89,NL,BRTL,NA,HG2,53.237996,6.393218,-0.1,0,90,0,EpiS,427819.209,1,M/S**2,200,2022-05-20T00:00:00,2599-12-31T23:59:59,31/12/2599
90,NL,BRTL,NA,HGZ,53.237996,6.393218,-0.1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2022-05-20T00:00:00,2599-12-31T23:59:59,31/12/2599
103,NL,BSTD,0,HGE,53.31215,6.692101,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2019-12-05T13:00:00,2599-12-31T23:59:59,31/12/2599
104,NL,BSTD,0,HGN,53.31215,6.692101,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2019-12-05T13:00:00,2599-12-31T23:59:59,31/12/2599
105,NL,BSTD,0,HGZ,53.31215,6.692101,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2019-12-05T13:00:00,2599-12-31T23:59:59,31/12/2599
112,NL,BWIR,NA,HGE,53.32257,6.7861,0,0,90,0,EpiS,213867.4766,1,M/S**2,200,2013-09-24T00:00:00,2599-12-31T23:59:59,31/12/2599
113,NL,BWIR,NA,HGN,53.32257,6.7861,0,0,0,0,EpiS,213867.4766,1,M/S**2,200,2013-09-24T00:00:00,2599-12-31T23:59:59,31/12/2599
114,NL,BWIR,NA,HGZ,53.32257,6.7861,0,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2013-09-24T00:00:00,2599-12-31T23:59:59,31/12/2599
115,NL,BWSE,NA,HGE,53.34442,6.70989,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,2013-04-24T00:00:00,2599-12-31T23:59:59,31/12/2599
116,NL,BWSE,NA,HGN,53.34442,6.70989,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,2013-04-24T00:00:00,2599-12-31T23:59:59,31/12/2599
117,NL,BWSE,NA,HGZ,53.34442,6.70989,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,2013-04-24T00:00:00,2599-12-31T23:59:59,31/12/2599
146,NL,CIA01,0,HDF,51.96884,4.92793,-1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
148,NL,CIA02,0,HDF,51.96968,4.92881,-1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
150,NL,CIA03,0,HDF,51.96859,4.92949,-1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
152,NL,CIA04,0,HDF,51.96786,4.92801,-2,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
154,NL,CIA05,0,HDF,51.9685,4.92642,-2,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
156,NL,CIA06,0,HDF,51.96962,4.92692,-1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
158,NL,CIA07,0,HDF,51.97071,4.92579,0,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
160,NL,CIA08,0,HDF,51.97209,4.92395,-1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
162,NL,CIA09,0,HDF,51.97421,4.92298,-1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
164,NL,CIA10,0,HDF,51.97297,4.92662,-2,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-10-14T08:30:00,2599-12-31T23:59:59,31/12/2599
165,NL,COE,NA,HG1,52.66055,6.783616,9.7,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-05-28T00:00:00,2599-12-31T23:59:59,31/12/2599
166,NL,COE,NA,HG2,52.66055,6.783616,9.7,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-05-28T00:00:00,2599-12-31T23:59:59,31/12/2599
167,NL,COE,NA,HGZ,52.66055,6.783616,9.7,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-05-28T00:00:00,2599-12-31T23:59:59,31/12/2599
168,NL,COE2,NA,HG1,52.632783,6.705706,8.9,0,0,0,EpiS,427819.209,1,M/S**2,200,2020-03-09T00:00:00,2599-12-31T23:59:59,31/12/2599
169,NL,COE2,NA,HG2,52.632783,6.705706,8.9,0,90,0,EpiS,427819.209,1,M/S**2,200,2020-03-09T00:00:00,2599-12-31T23:59:59,31/12/2599
170,NL,COE2,NA,HGZ,52.632783,6.705706,8.9,0,0,-90,EpiS,427819.209,1,M/S**2,200,2020-03-09T00:00:00,2599-12-31T23:59:59,31/12/2599
171,NL,COE3,NA,HG1,52.670353,6.652457,9.9,0,0,0,EpiS,427819.209,1,M/S**2,200,2020-08-28T00:00:00,2599-12-31T23:59:59,31/12/2599
172,NL,COE3,NA,HG2,52.670353,6.652457,9.9,0,90,0,EpiS,427819.209,1,M/S**2,200,2020-08-28T00:00:00,2599-12-31T23:59:59,31/12/2599
173,NL,COE3,NA,HGZ,52.670353,6.652457,9.9,0,0,-90,EpiS,427819.209,1,M/S**2,200,2020-08-28T00:00:00,2599-12-31T23:59:59,31/12/2599
174,NL,COE4,NA,HG1,52.659759,6.745131,10.7,0,0,0,EpiS,427819.209,1,M/S**2,200,2020-06-26T00:00:00,2599-12-31T23:59:59,31/12/2599
175,NL,COE4,NA,HG2,52.659759,6.745131,10.7,0,90,0,EpiS,427819.209,1,M/S**2,200,2020-06-26T00:00:00,2599-12-31T23:59:59,31/12/2599
176,NL,COE4,NA,HGZ,52.659759,6.745131,10.7,0,0,-90,EpiS,427819.209,1,M/S**2,200,2020-06-26T00:00:00,2599-12-31T23:59:59,31/12/2599
177,NL,DBLS,NA,HG1,52.839142,6.049736,2.4,0,0,0,EpiS,427819.209,1,M/S**2,200,2020-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
178,NL,DBLS,NA,HG2,52.839142,6.049736,2.4,0,90,0,EpiS,427819.209,1,M/S**2,200,2020-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
179,NL,DBLS,NA,HGZ,52.839142,6.049736,2.4,0,0,-90,EpiS,427819.209,1,M/S**2,200,2020-09-17T00:00:00,2599-12-31T23:59:59,31/12/2599
183,NL,DBN,1,BHE,52.1017,5.1767,3,0,90,0,STS-2,6.29E+08,1,M/S,40,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
184,NL,DBN,1,BHN,52.1017,5.1767,3,0,0,0,STS-2,6.29E+08,1,M/S,40,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
185,NL,DBN,1,BHZ,52.1017,5.1767,3,0,0,-90,STS-2,6.29E+08,1,M/S,40,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
186,NL,DBN,1,HHE,52.1017,5.1767,3,0,90,0,STS-2,6.29E+08,1,M/S,100,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
187,NL,DBN,1,HHN,52.1017,5.1767,3,0,0,0,STS-2,6.29E+08,1,M/S,100,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
188,NL,DBN,1,HHZ,52.1017,5.1767,3,0,0,-90,STS-2,6.29E+08,1,M/S,100,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
189,NL,DBN,1,LCE,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1.00E+06,0,S,1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
190,NL,DBN,1,LCQ,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,PERCENT,1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
191,NL,DBN,1,LHE,52.1017,5.1767,3,0,90,0,STS-2,6.29E+08,1,M/S,1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
192,NL,DBN,1,LHN,52.1017,5.1767,3,0,0,0,STS-2,6.29E+08,1,M/S,1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
193,NL,DBN,1,LHZ,52.1017,5.1767,3,0,0,-90,STS-2,6.29E+08,1,M/S,1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
194,NL,DBN,1,VCO,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
195,NL,DBN,1,VEA,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
196,NL,DBN,1,VEC,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
197,NL,DBN,1,VEP,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
198,NL,DBN,1,VFP,52.1017,5.1767,3,0,0,0,Synthetic State of Health (SOH),1,0.01,COUNTS,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
199,NL,DBN,1,VKI,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,CELSIUS,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
200,NL,DBN,1,VMU,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
201,NL,DBN,1,VMV,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
202,NL,DBN,1,VMW,52.1017,5.1767,3,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,2018-07-01T00:00:00,2599-12-31T23:59:59,31/12/2599
205,NL,DBN01,1,HDF,52.09887,5.17589,4,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-06-24T10:00:00,2599-12-31T23:59:59,31/12/2599
208,NL,DBN02,1,HDF,52.09897,5.17621,3,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-06-24T10:00:00,2599-12-31T23:59:59,31/12/2599
211,NL,DBN03,1,HDF,52.09897,5.17685,1,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-06-24T10:00:00,2599-12-31T23:59:59,31/12/2599
214,NL,DBN04,1,HDF,52.09875,5.17683,2,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-06-24T10:00:00,2599-12-31T23:59:59,31/12/2599
217,NL,DBN05,1,HDF,52.09842,5.17653,2,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-06-24T10:00:00,2599-12-31T23:59:59,31/12/2599
220,NL,DBN06,1,HDF,52.09853,5.17623,3,1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2016-06-24T10:00:00,2599-12-31T23:59:59,31/12/2599
222,NL,DL01,0,HDF,52.06011,5.8873,52,-1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2017-07-14T10:00:00,2599-12-31T23:59:59,31/12/2599
224,NL,DL14,0,HDF,52.05514,5.88275,49,-1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2017-07-14T10:00:00,2599-12-31T23:59:59,31/12/2599
226,NL,DL17,0,HDF,52.06005,5.88747,49,-1,0,-90,KNMI microbarometer,7425.051676,1,PA,100,2017-07-14T10:00:00,2599-12-31T23:59:59,31/12/2599
227,NL,DOK,NA,HG1,53.32729,5.985255,0.6,0,0,0,EpiS,427819.209,1,M/S**2,200,2021-09-30T00:00:00,2599-12-31T23:59:59,31/12/2599
228,NL,DOK,NA,HG2,53.32729,5.985255,0.6,0,90,0,EpiS,427819.209,1,M/S**2,200,2021-09-30T00:00:00,2599-12-31T23:59:59,31/12/2599
229,NL,DOK,NA,HGZ,53.32729,5.985255,0.6,0,0,-90,EpiS,427819.209,1,M/S**2,200,2021-09-30T00:00:00,2599-12-31T23:59:59,31/12/2599
230,NL,DON,NA,HG1,53.100493,6.542946,6.7,0,0,0,EpiS,427819.209,1,M/S**2,200,2021-01-25T00:00:00,2599-12-31T23:59:59,31/12/2599
231,NL,DON,NA,HG2,53.100493,6.542946,6.7,0,90,0,EpiS,427819.209,1,M/S**2,200,2021-01-25T00:00:00,2599-12-31T23:59:59,31/12/2599
232,NL,DON,NA,HGZ,53.100493,6.542946,6.7,0,0,-90,EpiS,427819.209,1,M/S**2,200,2021-01-25T00:00:00,2599-12-31T23:59:59,31/12/2599
233,NL,DR010,NA,HG1,52.7987,6.178458,1.7,0,0,0,EpiS,106912.7668,1,M/S**2,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
234,NL,DR010,NA,HG2,52.7987,6.178458,1.7,0,90,0,EpiS,106912.7668,1,M/S**2,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
235,NL,DR010,NA,HGZ,52.7987,6.178458,1.7,0,0,-90,EpiS,106912.7668,1,M/S**2,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
236,NL,DR011,NA,HH1,52.7987,6.178458,1.7,50,241.5,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
237,NL,DR011,NA,HH2,52.7987,6.178458,1.7,50,151.5,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
238,NL,DR011,NA,HHZ,52.7987,6.178458,1.7,50,0,90,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
239,NL,DR012,NA,HH1,52.7987,6.178458,1.7,100,257.4,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
240,NL,DR012,NA,HH2,52.7987,6.178458,1.7,100,167.4,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
241,NL,DR012,NA,HHZ,52.7987,6.178458,1.7,100,0,90,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
242,NL,DR013,NA,HH1,52.7987,6.178458,1.7,150,345.2,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
243,NL,DR013,NA,HH2,52.7987,6.178458,1.7,150,255.2,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
244,NL,DR013,NA,HHZ,52.7987,6.178458,1.7,150,0,90,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
245,NL,DR014,NA,HH1,52.7987,6.178458,1.7,200,351.2,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
246,NL,DR014,NA,HH2,52.7987,6.178458,1.7,200,261.2,0,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
247,NL,DR014,NA,HHZ,52.7987,6.178458,1.7,200,0,90,SM6H,2.50E+08,10,M/S,200,2018-06-25T00:00:00,2599-12-31T23:59:59,31/12/2599
248,NL,DR020,NA,HG1,52.703377,6.508147,11.2,0,0,0,EpiS,427651.322,1,M/S**2,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
249,NL,DR020,NA,HG2,52.703377,6.508147,11.2,0,90,0,EpiS,427651.322,1,M/S**2,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
250,NL,DR020,NA,HGZ,52.703377,6.508147,11.2,0,0,-90,EpiS,427651.322,1,M/S**2,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
251,NL,DR021,NA,HH1,52.703377,6.508147,11.2,50,37.9,0,SM6H,2.50E+08,10,M/S,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
252,NL,DR021,NA,HH2,52.703377,6.508147,11.2,50,307.9,0,SM6H,2.50E+08,10,M/S,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
253,NL,DR021,NA,HHZ,52.703377,6.508147,11.2,50,0,90,SM6H,2.50E+08,10,M/S,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
254,NL,DR022,NA,HH1,52.703377,6.508147,11.2,100,274,0,SM6H,2.50E+08,10,M/S,200,2019-06-20T00:00:00,2599-12-31T23:59:59,31/12/2599
