"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"79",406,"NL","ENV4","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E","2016","2599"
"80",421,"NL","FDG1","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E","2009","2599"
"81",424,"NL","FDG2","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E","2009","2599"
"82",427,"NL","FDG3","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E","2009","2599"
"83",430,"NL","FDG4","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E","2009","2599"
"84",523,"NL","FSW1","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E","1995","2010"
"85",526,"NL","FSW1","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E","2010","2016"
"86",529,"NL","FSW1","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E","2016","2599"
"87",532,"NL","FSW2","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E","1995","2010"
"88",535,"NL","FSW2","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E","2010","2016"
"89",538,"NL","FSW2","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E","2016","2599"
"90",541,"NL","FSW3","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E","1995","2010"
"91",544,"NL","FSW3","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E","2010","2016"
"92",547,"NL","FSW3","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E","2016","2599"
"93",550,"NL","FSW4","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E","1995","2010"
"94",553,"NL","FSW4","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E","2010","2016"
"95",556,"NL","FSW5","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E","1995","2010"
"96",559,"NL","FSW5","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E","2010","2016"
"97",562,"NL","FSW5","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E","2016","2599"
