#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
,,,,,,,,,,,,,,,,
"#DATACENTER=IRISDMC,http://ds.iris.edu",,,,,,,,,,,,,,,,
NL,1980,,BHN,50.8,5.9727,154,0,0,0,STS-2,6.29E+08,1,M/S,40,2009-03-10T00:00:00,2015-04-17T00:00:00
NL,1980,,BHZ,50.8,5.9727,154,0,0,-90,STS-2,6.29E+08,1,M/S,40,2009-03-10T00:00:00,2015-04-17T00:00:00
NL,1982,,BHE,50.86939,6.08469,145,0,90,0,STS-2,6.29E+08,1,M/S,40,2007-12-10T00:00:00,2015-04-17T00:00:00
NL,1982,,BHN,50.86939,6.08469,145,0,0,0,STS-2,6.29E+08,1,M/S,40,2007-12-10T00:00:00,2015-04-17T00:00:00
NL,1982,,BHZ,50.86939,6.08469,145,0,0,-90,STS-2,6.29E+08,1,M/S,40,2007-12-10T00:00:00,2015-04-17T00:00:00
NL,ALK1,,HG1,52.633821,4.744356,1,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-11-19T00:00:00,2599-12-31T23:59:59
NL,ALK1,,HG2,52.633821,4.744356,1,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-11-19T00:00:00,2599-12-31T23:59:59
NL,ALK1,,HGZ,52.633821,4.744356,1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-11-19T00:00:00,2599-12-31T23:59:59
NL,ALK2,,HG1,52.65104,4.723407,-1,0,0,0,EpiS,427819.209,1,M/S**2,200,2019-07-24T00:00:00,2599-12-31T23:59:59
NL,ALK2,,HG2,52.65104,4.723407,-1,0,90,0,EpiS,427819.209,1,M/S**2,200,2019-07-24T00:00:00,2599-12-31T23:59:59
NL,ALK2,,HGZ,52.65104,4.723407,-1,0,0,-90,EpiS,427819.209,1,M/S**2,200,2019-07-24T00:00:00,2599-12-31T23:59:59
NL,ARCN,,BHE,51.5013,6.1942,0,0,90,0,CMG3ES,6.86E+08,1,M/S,40,2018-05-23T00:00:00,2599-12-31T23:59:59
