Num,Place,Date,Time_UT,Magnitude,Depth,Easting,Northing,Field,Province
127,Groningen,25/12/2001,23:28:11,1.1,3.00,241128.32,601961.36,Groningen,Groningen
128,Groningen,05/02/2002,10:30:39,2.2,3.00,243616.73,593323.86,Groningen,Groningen
129,Groningen,27/02/2002,03:52:14,1.1,3.00,250906.33,595467.90,Groningen,Groningen
130,Groningen,10/05/2002,10:33:48,1.7,3.00,252811.27,600070.73,Groningen,Groningen
131,Groningen,18/07/2002,05:31:16,1.6,3.00,248297.15,578829.92,Groningen,Groningen
132,Groningen,29/08/2002,21:13:22,0.0,3.00,245767.09,585349.17,Groningen,Groningen
133,Groningen,17/12/2002,00:23:18,0.9,3.00,253209.04,590393.64,Groningen,Groningen
134,Groningen,18/12/2002,20:31:09,0.8,3.00,252603.92,577468.16,Groningen,Groningen
135,Groningen,01/01/2003,19:16:15,1.0,3.00,245311.47,595359.22,Groningen,Groningen
136,Groningen,18/01/2003,18:12:43,1.0,3.00,247216.73,589829.50,Groningen,Groningen
137,Groningen,23/01/2003,07:46:16,1.6,3.00,245974.24,592032.16,Groningen,Groningen
138,Groningen,30/01/2003,01:27:30,1.5,3.00,248630.89,595979.52,Groningen,Groningen
139,Groningen,31/01/2003,15:20:47,0.3,3.00,248135.49,583724.72,Groningen,Groningen
140,Groningen,06/02/2003,19:25:24,0.3,3.00,247143.13,586711.17,Groningen,Groningen
141,Groningen,11/02/2003,19:29:49,1.3,3.00,247277.50,597066.49,Groningen,Groningen
142,Groningen,12/02/2003,06:22:20,0.8,3.00,250072.46,587102.20,Groningen,Groningen
143,Groningen,28/02/2003,21:54:18,0.7,3.00,244408.21,597346.04,Groningen,Groningen
144,Groningen,03/03/2003,20:51:21,2.2,3.00,239871.00,597820.11,Groningen,Groningen
145,Groningen,06/03/2003,20:15:18,0.9,3.00,246391.22,573561.61,Groningen,Groningen
146,Groningen,09/03/2003,05:31:26,1.1,3.00,238383.17,599129.78,Groningen,Groningen
147,Groningen,23/03/2003,16:00:03,1.5,3.00,247716.58,608763.99,Groningen,Groningen
148,Groningen,29/03/2003,21:09:01,0.4,3.00,241448.64,584156.42,Groningen,Groningen
149,Groningen,01/04/2003,00:25:52,0.3,3.00,252510.29,598506.03,Groningen,Groningen
150,Groningen,02/04/2003,20:19:48,1.9,3.00,243640.14,595661.98,Groningen,Groningen
151,Groningen,05/04/2003,16:49:48,0.3,3.00,238030.81,580979.45,Groningen,Groningen
152,Groningen,06/04/2003,00:07:50,0.1,3.00,248916.44,588192.65,Groningen,Groningen
153,Groningen,06/04/2003,00:57:27,1.0,3.00,246055.77,580679.36,Groningen,Groningen
154,Groningen,06/04/2003,23:02:04,0.7,3.00,246922.17,580807.15,Groningen,Groningen
155,Groningen,16/04/2003,16:20:42,0.7,3.00,247563.02,589168.25,Groningen,Groningen
156,Groningen,18/04/2003,23:59:55,0.0,3.00,246186.56,584355.26,Groningen,Groningen
157,Groningen,20/04/2003,00:19:39,0.1,3.00,245969.43,585241.68,Groningen,Groningen
158,Groningen,28/04/2003,21:56:11,1.0,3.00,244357.64,589330.16,Groningen,Groningen
159,Groningen,29/04/2003,02:55:04,1.3,3.00,244555.63,589445.16,Groningen,Groningen
160,Groningen,14/05/2003,20:52:15,0.8,3.00,253626.93,586283.28,Groningen,Groningen
161,Groningen,14/05/2003,22:23:46,0.8,3.00,252418.97,586592.61,Groningen,Groningen
162,Groningen,31/05/2003,23:12:25,0.8,3.00,254310.35,585518.11,Groningen,Groningen
163,Groningen,03/06/2003,16:15:38,1.5,3.00,241315.09,595285.59,Groningen,Groningen
164,Groningen,06/06/2003,14:27:16,0.7,3.00,241472.65,582821.09,Groningen,Groningen
165,Groningen,08/06/2003,05:30:47,1.0,3.00,248622.67,579281.50,Groningen,Groningen
166,Groningen,08/06/2003,08:14:16,1.5,3.00,245049.57,588007.28,Groningen,Groningen
167,Groningen,07/08/2003,08:24:21,1.7,3.00,246285.12,596713.51,Groningen,Groningen
168,Groningen,07/08/2003,10:56:39,1.3,3.00,245627.67,596255.75,Groningen,Groningen
