X,Y,topo_gradients_smoothed
229500.00,605500.00,2.977647e-02
229500.00,606000.00,2.928847e-02
229500.00,606500.00,2.874577e-02
229500.00,607000.00,2.811701e-02
229500.00,607500.00,2.737491e-02
229500.00,608000.00,2.650125e-02
229500.00,608500.00,2.548334e-02
229500.00,609000.00,2.431989e-02
229500.00,609500.00,2.301826e-02
229500.00,610000.00,2.159332e-02
229500.00,610500.00,2.006814e-02
229500.00,611000.00,1.847237e-02
229500.00,611500.00,1.684005e-02
229500.00,612000.00,1.521196e-02
229500.00,612500.00,1.363223e-02
229500.00,613000.00,1.214811e-02
229500.00,613500.00,1.081004e-02
229500.00,614000.00,9.666146e-03
229500.00,614500.00,8.763506e-03
229500.00,615000.00,8.138082e-03
229500.00,615500.00,7.818277e-03
230000.00,566500.00,1.076811e-03
230000.00,567000.00,1.154690e-03
230000.00,567500.00,1.307377e-03
230000.00,568000.00,1.529096e-03
230000.00,568500.00,1.810356e-03
230000.00,569000.00,2.138764e-03
230000.00,569500.00,2.499026e-03
230000.00,570000.00,2.873859e-03
230000.00,570500.00,3.244810e-03
230000.00,571000.00,3.593259e-03
230000.00,571500.00,3.902360e-03
230000.00,572000.00,4.158509e-03
230000.00,572500.00,4.352753e-03
230000.00,573000.00,4.481100e-03
230000.00,573500.00,4.545555e-03
230000.00,574000.00,4.552873e-03
230000.00,574500.00,4.514372e-03
230000.00,575000.00,4.444108e-03
230000.00,575500.00,4.357161e-03
230000.00,576000.00,4.267749e-03
230000.00,576500.00,4.189134e-03
230000.00,577000.00,4.129995e-03
230000.00,577500.00,4.095472e-03
230000.00,578000.00,4.088138e-03
230000.00,578500.00,4.108296e-03
230000.00,579000.00,4.156040e-03
230000.00,579500.00,4.232513e-03
230000.00,580000.00,4.342818e-03
230000.00,580500.00,4.495335e-03
230000.00,581000.00,4.705759e-03
230000.00,581500.00,4.995564e-03
230000.00,582000.00,5.391406e-03
230000.00,582500.00,5.923473e-03
230000.00,583000.00,6.622151e-03
230000.00,583500.00,7.513933e-03
230000.00,584000.00,8.618861e-03
230000.00,584500.00,9.942831e-03
230000.00,585000.00,1.147827e-02
230000.00,585500.00,1.319935e-02
230000.00,586000.00,1.506269e-02
230000.00,586500.00,1.701132e-02
230000.00,587000.00,1.897835e-02
230000.00,587500.00,2.089469e-02
230000.00,588000.00,2.269684e-02
230000.00,588500.00,2.433398e-02
230000.00,589000.00,2.577575e-02
230000.00,589500.00,2.701445e-02
230000.00,590000.00,2.806503e-02
230000.00,590500.00,2.896372e-02
230000.00,591000.00,2.975846e-02
230000.00,591500.00,3.050581e-02
230000.00,592000.00,3.125896e-02
230000.00,592500.00,3.206067e-02
230000.00,593000.00,3.293800e-02
230000.00,593500.00,3.389746e-02
230000.00,594000.00,3.492550e-02
230000.00,594500.00,3.598913e-02
230000.00,595000.00,3.704216e-02
230000.00,595500.00,3.802957e-02
230000.00,596000.00,3.889596e-02
230000.00,596500.00,3.959015e-02
230000.00,597000.00,4.007274e-02
230000.00,597500.00,4.032017e-02
230000.00,598000.00,4.032507e-02
230000.00,598500.00,4.009858e-02
230000.00,599000.00,3.966695e-02
230000.00,599500.00,3.906856e-02
230000.00,600000.00,3.834836e-02
230000.00,600500.00,3.755611e-02
230000.00,601000.00,3.673770e-02
230000.00,601500.00,3.593400e-02
230000.00,602000.00,3.517740e-02
230000.00,602500.00,3.449021e-02
230000.00,603000.00,3.388410e-02
230000.00,603500.00,3.335932e-02
230000.00,604000.00,3.290701e-02
230000.00,604500.00,3.250741e-02
230000.00,605000.00,3.213394e-02
230000.00,605500.00,3.175457e-02
230000.00,606000.00,3.133433e-02
230000.00,606500.00,3.083834e-02
230000.00,607000.00,3.023491e-02
230000.00,607500.00,2.949731e-02
230000.00,608000.00,2.860864e-02
230000.00,608500.00,2.755794e-02
230000.00,609000.00,2.634568e-02
230000.00,609500.00,2.498106e-02
230000.00,610000.00,2.348064e-02
230000.00,610500.00,2.186917e-02
230000.00,611000.00,2.017804e-02
230000.00,611500.00,1.844340e-02
230000.00,612000.00,1.670870e-02
230000.00,612500.00,1.502133e-02
230000.00,613000.00,1.343252e-02
230000.00,613500.00,1.199716e-02
230000.00,614000.00,1.076806e-02
230000.00,614500.00,9.796765e-03
230000.00,615000.00,9.123203e-03
230000.00,615500.00,8.778587e-03
230500.00,566500.00,1.310157e-03
230500.00,567000.00,1.404985e-03
230500.00,567500.00,1.590984e-03
230500.00,568000.00,1.861258e-03
230500.00,568500.00,2.204528e-03
230500.00,569000.00,2.606015e-03
230500.00,569500.00,3.047481e-03
230500.00,570000.00,3.508288e-03
