"","X.Network","Station","Location","Channel","Latitude","Longitude","Elevation","Depth","Azimuth","Dip","SensorDescription","Scale","ScaleFreq","ScaleUnits","SampleRate","StartTime","EndTime","Xcoord","Ycoord"
"41","NL","HGN",2,"UHZ",50.764,5.9317,135,4,0,-90,"STS-1",3912450000,1,"M/S",0.01,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"42","NL","HGN",2,"VCO",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"43","NL","HGN",2,"VEA",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"44","NL","HGN",2,"VEC",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1000,0,"A",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"45","NL","HGN",2,"VEP",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",6.66667,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"46","NL","HGN",2,"VFP",50.764,5.9317,135,0,0,0,"Synthetic State of Health (SOH)",1,0.01,"COUNTS",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"47","NL","HGN",2,"VHE",50.764,5.9317,135,4,90,0,"STS-1",3848690000,1,"M/S",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"48","NL","HGN",2,"VHN",50.764,5.9317,135,4,0,0,"STS-1",3882250000,1,"M/S",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"49","NL","HGN",2,"VHZ",50.764,5.9317,135,4,0,-90,"STS-1",3912450000,1,"M/S",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"50","NL","HGN",2,"VKI",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"CELSIUS",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"51","NL","HGN",2,"VMU",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"52","NL","HGN",2,"VMV",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"53","NL","HGN",2,"VMW",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",10,0,"V",0.1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"54","NL","0171",NA,"BLE",51.03544,5.86908,35,0,90,0,"STS-2",629145000,1,"M/S",40,"27/01/2006 00:00","25/11/2011 00:00",188801.158392374,338537.614892151
"55","NL","0171",NA,"BLN",51.03544,5.86908,35,0,0,0,"STS-2",629145000,1,"M/S",40,"27/01/2006 00:00","25/11/2011 00:00",188801.158392374,338537.614892151
"56","NL","0171",NA,"BLZ",51.03544,5.86908,35,0,0,-90,"STS-2",629145000,1,"M/S",40,"27/01/2006 00:00","25/11/2011 00:00",188801.158392374,338537.614892151
"57","NL","1979",NA,"BHE",50.9708,5.9268,80,0,90,0,"STS-2",629145000,1,"M/S",40,"10/03/2009 00:00","28/11/2014 00:00",192902.917861977,331374.86511414
"58","NL","1979",NA,"BHN",50.9708,5.9268,80,0,0,0,"STS-2",629145000,1,"M/S",40,"10/03/2009 00:00","28/11/2014 00:00",192902.917861977,331374.86511414
"59","NL","1979",NA,"BHZ",50.9708,5.9268,80,0,0,-90,"STS-2",629145000,1,"M/S",40,"10/03/2009 00:00","28/11/2014 00:00",192902.917861977,331374.86511414
"60","NL","1980",NA,"BHE",50.8,5.9727,154,0,90,0,"STS-2",629145000,1,"M/S",40,"10/03/2009 00:00","17/04/2015 00:00",196279.063587135,312398.616172988
"61","NL","1980",NA,"BHN",50.8,5.9727,154,0,0,0,"STS-2",629145000,1,"M/S",40,"10/03/2009 00:00","17/04/2015 00:00",196279.063587135,312398.616172988
"62","NL","1980",NA,"BHZ",50.8,5.9727,154,0,0,-90,"STS-2",629145000,1,"M/S",40,"10/03/2009 00:00","17/04/2015 00:00",196279.063587135,312398.616172988
"63","NL","1982",NA,"BHE",50.86939,6.08469,145,0,90,0,"STS-2",629145000,1,"M/S",40,"10/12/2007 00:00","17/04/2015 00:00",204100.877648659,320187.195524322
"64","NL","1982",NA,"BHN",50.86939,6.08469,145,0,0,0,"STS-2",629145000,1,"M/S",40,"10/12/2007 00:00","17/04/2015 00:00",204100.877648659,320187.195524322
"65","NL","1982",NA,"BHZ",50.86939,6.08469,145,0,0,-90,"STS-2",629145000,1,"M/S",40,"10/12/2007 00:00","17/04/2015 00:00",204100.877648659,320187.195524322
"66","NL","ALK1",NA,"HG1",52.633821,4.744356,1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"19/11/2019 00:00","31/12/2599 23:59",111480.166323765,516450.424248329
"67","NL","ALK1",NA,"HG2",52.633821,4.744356,1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"19/11/2019 00:00","31/12/2599 23:59",111480.166323765,516450.424248329
"68","NL","ALK1",NA,"HGZ",52.633821,4.744356,1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"19/11/2019 00:00","31/12/2599 23:59",111480.166323765,516450.424248329
"69","NL","ALK2",NA,"HG1",52.65104,4.723407,-1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"24/07/2019 00:00","31/12/2599 23:59",110079.563856238,518379.161417706
"70","NL","ALK2",NA,"HG2",52.65104,4.723407,-1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"24/07/2019 00:00","31/12/2599 23:59",110079.563856238,518379.161417706
"71","NL","ALK2",NA,"HGZ",52.65104,4.723407,-1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"24/07/2019 00:00","31/12/2599 23:59",110079.563856238,518379.161417706
"72","NL","ANDK",NA,"HG1",52.747514,5.216375,-1.8,0,0,0,"EpiS",427818.9825,1,"M/S**2",200,"12/05/2023 00:00","31/12/2599 23:59",143464.83805336,528921.659073254
"73","NL","ANDK",NA,"HG2",52.747514,5.216375,-1.8,0,90,0,"EpiS",427818.9825,1,"M/S**2",200,"12/05/2023 00:00","31/12/2599 23:59",143464.83805336,528921.659073254
"74","NL","ANDK",NA,"HGZ",52.747514,5.216375,-1.8,0,0,-90,"EpiS",427818.9825,1,"M/S**2",200,"12/05/2023 00:00","31/12/2599 23:59",143464.83805336,528921.659073254
"75","NL","ARCN",NA,"BHE",51.5013,6.1942,0,0,90,0,"CMG3ES",685501000,1,"M/S",40,"23/05/2018 00:00","31/12/2599 23:59",211032.853856381,390563.569023033
"76","NL","ARCN",NA,"BHN",51.5013,6.1942,0,0,0,0,"CMG3ES",680154000,1,"M/S",40,"23/05/2018 00:00","31/12/2599 23:59",211032.853856381,390563.569023033
"77","NL","ARCN",NA,"BHZ",51.5013,6.1942,0,0,0,-90,"CMG3ES",688525000,1,"M/S",40,"23/05/2018 00:00","31/12/2599 23:59",211032.853856381,390563.569023033
"78","NL","ASS1",NA,"HG1",52.977799,6.557414,9.5,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"14/04/2020 00:00","31/12/2599 23:59",233599.334229313,555171.285162824
"79","NL","ASS1",NA,"HG2",52.977799,6.557414,9.5,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"14/04/2020 00:00","31/12/2599 23:59",233599.334229313,555171.285162824
"80","NL","ASS1",NA,"HGZ",52.977799,6.557414,9.5,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"14/04/2020 00:00","31/12/2599 23:59",233599.334229313,555171.285162824
"81","NL","ASS2",NA,"HG1",53.01428,6.570557,12,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"24/04/2020 00:00","31/12/2599 23:59",234415.455235246,559244.985381249
"82","NL","ASS2",NA,"HG2",53.01428,6.570557,12,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"24/04/2020 00:00","31/12/2599 23:59",234415.455235246,559244.985381249
"83","NL","ASS2",NA,"HGZ",53.01428,6.570557,12,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"24/04/2020 00:00","31/12/2599 23:59",234415.455235246,559244.985381249
"84","NL","BAPP",NA,"CPU",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",1,0,"PERCENT",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"85","NL","BAPP",NA,"DEG",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",1,0,"CELSIUS",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"86","NL","BAPP",NA,"HGE",53.31482,6.83539,0,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"87","NL","BAPP",NA,"HGN",53.31482,6.83539,0,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"88","NL","BAPP",NA,"HGZ",53.31482,6.83539,0,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
