#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
NL|HGN|02|LCE|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|1000000.0|0.0|S|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|LCQ|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|1.0|0.0|PERCENT|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|LHE|50.764|5.9317|135.0|4.0|90.0|0.0|STS-1|3.84869E9|1.0|M/S|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|LHN|50.764|5.9317|135.0|4.0|0.0|0.0|STS-1|3.88225E9|1.0|M/S|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|LHZ|50.764|5.9317|135.0|4.0|0.0|-90.0|STS-1|3.91245E9|1.0|M/S|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|UHE|50.764|5.9317|135.0|4.0|90.0|0.0|STS-1|3.84869E9|1.0|M/S|0.01|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|UHN|50.764|5.9317|135.0|4.0|0.0|0.0|STS-1|3.88225E9|1.0|M/S|0.01|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|UHZ|50.764|5.9317|135.0|4.0|0.0|-90.0|STS-1|3.91245E9|1.0|M/S|0.01|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VCO|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|6.66667|0.0|V|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VEA|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|1000.0|0.0|A|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VEC|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|1000.0|0.0|A|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VEP|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|6.66667|0.0|V|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VFP|50.764|5.9317|135.0|0.0|0.0|0.0|Synthetic State of Health (SOH)|1.0|0.01|COUNTS|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VHE|50.764|5.9317|135.0|4.0|90.0|0.0|STS-1|3.84869E9|1.0|M/S|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VHN|50.764|5.9317|135.0|4.0|0.0|0.0|STS-1|3.88225E9|1.0|M/S|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VHZ|50.764|5.9317|135.0|4.0|0.0|-90.0|STS-1|3.91245E9|1.0|M/S|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VKI|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|1.0|0.0|CELSIUS|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VMU|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|10.0|0.0|V|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VMV|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|10.0|0.0|V|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|VMW|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|10.0|0.0|V|0.1|2014-10-29T00:00:00|2599-12-31T23:59:59

#DATACENTER=KNMI,http://rdsa.knmi.nl/
NL|0171||BLE|51.03544|5.86908|35.0|0.0|90.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2006-01-27T00:00:00|2011-11-25T00:00:00
NL|0171||BLN|51.03544|5.86908|35.0|0.0|0.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2006-01-27T00:00:00|2011-11-25T00:00:00
NL|0171||BLZ|51.03544|5.86908|35.0|0.0|0.0|-90.0|STS-2|6.29145E8|1.0|M/S|40.0|2006-01-27T00:00:00|2011-11-25T00:00:00
NL|1979||BHE|50.9708|5.9268|80.0|0.0|90.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2009-03-10T00:00:00|2014-11-28T00:00:00
NL|1979||BHN|50.9708|5.9268|80.0|0.0|0.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2009-03-10T00:00:00|2014-11-28T00:00:00
NL|1979||BHZ|50.9708|5.9268|80.0|0.0|0.0|-90.0|STS-2|6.29145E8|1.0|M/S|40.0|2009-03-10T00:00:00|2014-11-28T00:00:00
NL|1980||BHE|50.8|5.9727|154.0|0.0|90.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2009-03-10T00:00:00|2015-04-17T00:00:00
NL|1980||BHN|50.8|5.9727|154.0|0.0|0.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2009-03-10T00:00:00|2015-04-17T00:00:00
NL|1980||BHZ|50.8|5.9727|154.0|0.0|0.0|-90.0|STS-2|6.29145E8|1.0|M/S|40.0|2009-03-10T00:00:00|2015-04-17T00:00:00
NL|1982||BHE|50.86939|6.08469|145.0|0.0|90.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2007-12-10T00:00:00|2015-04-17T00:00:00
NL|1982||BHN|50.86939|6.08469|145.0|0.0|0.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2007-12-10T00:00:00|2015-04-17T00:00:00
NL|1982||BHZ|50.86939|6.08469|145.0|0.0|0.0|-90.0|STS-2|6.29145E8|1.0|M/S|40.0|2007-12-10T00:00:00|2015-04-17T00:00:00
NL|ALK1||HG1|52.633821|4.744356|1.0|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-11-19T00:00:00|2599-12-31T23:59:59
NL|ALK1||HG2|52.633821|4.744356|1.0|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-11-19T00:00:00|2599-12-31T23:59:59
NL|ALK1||HGZ|52.633821|4.744356|1.0|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-11-19T00:00:00|2599-12-31T23:59:59
NL|ALK2||HG1|52.65104|4.723407|-1.0|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-07-24T00:00:00|2599-12-31T23:59:59
NL|ALK2||HG2|52.65104|4.723407|-1.0|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-07-24T00:00:00|2599-12-31T23:59:59
NL|ALK2||HGZ|52.65104|4.723407|-1.0|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-07-24T00:00:00|2599-12-31T23:59:59
NL|ARCN||BHE|51.5013|6.1942|0.0|0.0|90.0|0.0|CMG3ES|6.85501E8|1.0|M/S|40.0|2018-05-23T00:00:00|2599-12-31T23:59:59
