"","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"135","NL","BMD1","HGN",53.34726,6.64225,2,0,"11/09/2013 00:00","11/03/2014 05:16",238580.939,596379.2337,2013-09-11,2014-03-11
"136","NL","BMD1","HGZ",53.34726,6.64225,2,0,"11/09/2013 00:00","11/03/2014 05:16",238580.939,596379.2337,2013-09-11,2014-03-11
"137","NL","BMD2","HGE",53.35325,6.6472,0,0,"10/09/2013 00:00","05/12/2019 14:10",238898.8933,597051.5785,2013-09-10,2019-12-05
"138","NL","BMD2","HGE",53.35325,6.6472,0,0,"05/12/2019 14:10","31/12/2599 23:59",238898.8933,597051.5785,2019-12-05,2599-12-31
"139","NL","BMD2","HGN",53.35325,6.6472,0,0,"10/09/2013 00:00","05/12/2019 14:10",238898.8933,597051.5785,2013-09-10,2019-12-05
"140","NL","BMD2","HGN",53.35325,6.6472,0,0,"05/12/2019 14:10","31/12/2599 23:59",238898.8933,597051.5785,2019-12-05,2599-12-31
"141","NL","BMD2","HGZ",53.35325,6.6472,0,0,"10/09/2013 00:00","05/12/2019 14:10",238898.8933,597051.5785,2013-09-10,2019-12-05
"142","NL","BMD2","HGZ",53.35325,6.6472,0,0,"05/12/2019 14:10","31/12/2599 23:59",238898.8933,597051.5785,2019-12-05,2599-12-31
"3473","NL","BNHLT","BHE",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"3476","NL","BNHLT","HHE",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"3474","NL","BNHLT","BHN",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"3477","NL","BNHLT","HHN",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"3475","NL","BNHLT","BHZ",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"3478","NL","BNHLT","HHZ",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"3489","NL","BNHLT","BHZ",50.791068,5.814136,186,200,"22/09/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-09-22,2599-12-31
"3492","NL","BNHLT","HHZ",50.791068,5.814136,186,200,"22/09/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-09-22,2599-12-31
"143","NL","BONL","HGE",53.40014,6.75483,1,0,"19/09/2013 00:00","23/08/2015 00:00",245965.8504,602400.4268,2013-09-19,2015-08-23
"144","NL","BONL","HGN",53.40014,6.75483,1,0,"19/09/2013 00:00","23/08/2015 00:00",245965.8504,602400.4268,2013-09-19,2015-08-23
"145","NL","BONL","HGZ",53.40014,6.75483,1,0,"19/09/2013 00:00","23/08/2015 00:00",245965.8504,602400.4268,2013-09-19,2015-08-23
"146","NL","BOWW","HGE",53.34053,6.8125,1,0,"01/10/2013 00:00","31/12/2599 23:59",249932.7742,595841.4772,2013-10-01,2599-12-31
"147","NL","BOWW","HGN",53.34053,6.8125,1,0,"01/10/2013 00:00","31/12/2599 23:59",249932.7742,595841.4772,2013-10-01,2599-12-31
"148","NL","BOWW","HGZ",53.34053,6.8125,1,0,"01/10/2013 00:00","31/12/2599 23:59",249932.7742,595841.4772,2013-10-01,2599-12-31
"149","NL","BRSW","HGE",52.842316,7.032279,12.5,0,"28/02/2019 00:00","31/12/2599 23:59",265834.8797,540719.9262,2019-02-28,2599-12-31
"150","NL","BRSW","HGN",52.842316,7.032279,12.5,0,"28/02/2019 00:00","31/12/2599 23:59",265834.8797,540719.9262,2019-02-28,2599-12-31
"151","NL","BRSW","HGZ",52.842316,7.032279,12.5,0,"28/02/2019 00:00","31/12/2599 23:59",265834.8797,540719.9262,2019-02-28,2599-12-31
"154","NL","BRTL","HGZ",53.237996,6.393218,-0.1,0,"20/05/2022 00:00","31/12/2599 23:59",222167.1711,583959.2347,2022-05-20,2599-12-31
"152","NL","BRTL","HG1",53.237996,6.393218,-0.1,0,"20/05/2022 00:00","31/12/2599 23:59",222167.1711,583959.2347,2022-05-20,2599-12-31
"153","NL","BRTL","HG2",53.237996,6.393218,-0.1,0,"20/05/2022 00:00","31/12/2599 23:59",222167.1711,583959.2347,2022-05-20,2599-12-31
"155","NL","BSTD","HGE",53.312297,6.692137,1,0,"17/09/2014 00:00","11/06/2015 00:00",241973.5175,592547.6047,2014-09-17,2015-06-11
"156","NL","BSTD","HGE",53.312297,6.692137,1,0,"11/06/2015 00:00","07/10/2015 12:25",241973.5175,592547.6047,2015-06-11,2015-10-07
"157","NL","BSTD","HGE",53.312297,6.692137,1,0,"07/10/2015 12:25","23/10/2015 11:03",241973.5175,592547.6047,2015-10-07,2015-10-23
"158","NL","BSTD","HGE",53.312297,6.692137,1,0,"23/10/2015 11:03","05/12/2019 13:00",241973.5175,592547.6047,2015-10-23,2019-12-05
"167","NL","BSTD","HGE",53.31215,6.692101,1,0,"05/12/2019 13:00","31/12/2599 23:59",241971.4148,592531.203,2019-12-05,2599-12-31
"159","NL","BSTD","HGN",53.312297,6.692137,1,0,"17/09/2014 00:00","11/06/2015 00:00",241973.5175,592547.6047,2014-09-17,2015-06-11
"160","NL","BSTD","HGN",53.312297,6.692137,1,0,"11/06/2015 00:00","07/10/2015 12:25",241973.5175,592547.6047,2015-06-11,2015-10-07
"161","NL","BSTD","HGN",53.312297,6.692137,1,0,"07/10/2015 12:25","23/10/2015 11:03",241973.5175,592547.6047,2015-10-07,2015-10-23
"162","NL","BSTD","HGN",53.312297,6.692137,1,0,"23/10/2015 11:03","05/12/2019 13:00",241973.5175,592547.6047,2015-10-23,2019-12-05
"168","NL","BSTD","HGN",53.31215,6.692101,1,0,"05/12/2019 13:00","31/12/2599 23:59",241971.4148,592531.203,2019-12-05,2599-12-31
"163","NL","BSTD","HGZ",53.312297,6.692137,1,0,"17/09/2014 00:00","11/06/2015 00:00",241973.5175,592547.6047,2014-09-17,2015-06-11
"164","NL","BSTD","HGZ",53.312297,6.692137,1,0,"11/06/2015 00:00","07/10/2015 12:25",241973.5175,592547.6047,2015-06-11,2015-10-07
"165","NL","BSTD","HGZ",53.312297,6.692137,1,0,"07/10/2015 12:25","23/10/2015 11:03",241973.5175,592547.6047,2015-10-07,2015-10-23
"166","NL","BSTD","HGZ",53.312297,6.692137,1,0,"23/10/2015 11:03","05/12/2019 13:00",241973.5175,592547.6047,2015-10-23,2019-12-05
"169","NL","BSTD","HGZ",53.31215,6.692101,1,0,"05/12/2019 13:00","31/12/2599 23:59",241971.4148,592531.203,2019-12-05,2599-12-31
"170","NL","BUHZ","HGE",53.40704,6.67266,2,0,"07/10/2013 00:00","06/12/2019 00:00",240487.1078,603067.5024,2013-10-07,2019-12-06
"171","NL","BUHZ","HGN",53.40704,6.67266,2,0,"07/10/2013 00:00","06/12/2019 00:00",240487.1078,603067.5024,2013-10-07,2019-12-06
"172","NL","BUHZ","HGZ",53.40704,6.67266,2,0,"07/10/2013 00:00","06/12/2019 00:00",240487.1078,603067.5024,2013-10-07,2019-12-06
"173","NL","BWIN","HGE",53.3112,6.74837,1,0,"17/09/2014 00:00","07/12/2019 00:00",245723.4446,592494.9436,2014-09-17,2019-12-07
"174","NL","BWIN","HGN",53.3112,6.74837,1,0,"17/09/2014 00:00","07/12/2019 00:00",245723.4446,592494.9436,2014-09-17,2019-12-07
"175","NL","BWIN","HGZ",53.3112,6.74837,1,0,"17/09/2014 00:00","07/12/2019 00:00",245723.4446,592494.9436,2014-09-17,2019-12-07
"176","NL","BWIR","HGE",53.32257,6.7861,0,0,"24/09/2013 00:00","31/12/2599 23:59",248213.3896,593808.3977,2013-09-24,2599-12-31
"177","NL","BWIR","HGN",53.32257,6.7861,0,0,"24/09/2013 00:00","31/12/2599 23:59",248213.3896,593808.3977,2013-09-24,2599-12-31
"178","NL","BWIR","HGZ",53.32257,6.7861,0,0,"24/09/2013 00:00","31/12/2599 23:59",248213.3896,593808.3977,2013-09-24,2599-12-31
