"","X","Y","Start_date","End_date"
"287",247119.2125,597798.5977,"2015-02-11","2599-12-31"
"288",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"289",253433.671,586383.5079,"2017-04-04","2599-12-31"
"290",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"291",241645.0932,580508.0868,"2015-02-11","2599-12-31"
"292",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"293",254975.5727,598881.5835,"2015-12-08","2599-12-31"
"294",240487.1077,603067.5024,"2013-10-07","2019-12-06"
"295",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"296",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"297",240672.8336,585579.5799,"2016-01-22","2599-12-31"
"298",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"299",240487.1077,603067.5024,"2013-10-07","2019-12-06"
"300",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"301",248207.606,590399.6553,"2014-09-17","2599-12-31"
"302",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"303",261958.2215,582864.2158,"2015-02-11","2599-12-31"
"304",256770.6126,570348.0291,"2015-06-30","2599-12-31"
"305",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"306",248207.606,590399.6553,"2014-09-17","2599-12-31"
"307",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"308",257568.1765,587595.918,"2015-12-07","2599-12-31"
"309",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"310",247022.3198,604457.6339,"2015-07-16","2599-12-31"
"311",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"312",248207.606,590399.6553,"2014-09-17","2599-12-31"
"313",243265.8688,583316.7192,"2014-09-17","2599-12-31"
"314",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"315",248207.606,590399.6553,"2014-09-17","2599-12-31"
"316",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"317",253433.671,586383.5079,"2017-04-04","2599-12-31"
"318",253433.671,586383.5079,"2017-04-04","2599-12-31"
"319",243265.8688,583316.7192,"2014-09-17","2599-12-31"
"320",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"321",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"322",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"323",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"324",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"325",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"326",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"327",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"328",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"329",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"330",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"331",265257.161,582831.7239,"2015-09-15","2599-12-31"
"332",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"333",247389.306,598590.4013,"2017-01-01","2017-12-15"
"334",249312.4841,600052.8303,"2015-09-08","2599-12-31"
"335",265257.161,582831.7239,"2015-09-15","2599-12-31"
"336",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"337",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"338",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"339",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"340",256506.0921,594963.1148,"2015-09-15","2599-12-31"
"341",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"342",240672.8336,585579.5799,"2016-01-22","2599-12-31"
"343",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"344",257568.1765,587595.918,"2015-12-07","2599-12-31"
"345",238209.1548,595141.2719,"2015-04-29","2599-12-31"
"346",255450.3924,595371.375,"2015-05-28","2599-12-31"
"347",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"348",254975.5727,598881.5835,"2015-12-08","2599-12-31"
"349",258722.6842,592415.1863,"2017-05-12","2599-12-31"
"350",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"351",241114.2716,600275.16,"2015-11-27","2599-12-31"
"352",244284.9563,582900.2906,"2014-10-24","2599-12-31"
"353",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"354",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"355",240672.8336,585579.5799,"2016-01-22","2599-12-31"
"356",257568.1765,587595.918,"2015-12-07","2599-12-31"
"357",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"358",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"359",250660.2176,593719.6573,"2015-10-29","2599-12-31"
"360",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"361",255450.3924,595371.375,"2015-05-28","2599-12-31"
"362",255450.3924,595371.375,"2015-05-28","2599-12-31"
"363",241114.2716,600275.16,"2015-11-27","2599-12-31"
"364",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"365",241645.0932,580508.0868,"2015-02-11","2599-12-31"
"366",250660.2176,593719.6573,"2015-10-29","2599-12-31"
"367",258722.6842,592415.1863,"2017-05-12","2599-12-31"
"368",257568.1765,587595.918,"2015-12-07","2599-12-31"
"369",247022.3198,604457.6339,"2015-07-16","2599-12-31"
"370",241009.9847,592313.4984,"2015-02-10","2599-12-31"
"371",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"372",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"373",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"374",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"375",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"376",243090.9595,596143.8737,"2013-04-24","2599-12-31"
"377",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"378",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"379",241114.2716,600275.16,"2015-11-27","2599-12-31"
"380",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"381",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"382",263981.0995,591204.5951,"2015-11-27","2020-08-04"
"383",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"384",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"385",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"386",253433.671,586383.5079,"2017-04-04","2599-12-31"
"387",245080.1446,581028.328,"2016-06-14","2599-12-31"
"388",258274.3922,574629.7178,"2015-02-12","2599-12-31"
"389",243906.0488,594623.1669,"2015-09-18","2599-12-31"
"390",257568.1765,587595.918,"2015-12-07","2599-12-31"
"391",240672.8336,585579.5799,"2016-01-22","2599-12-31"
"392",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"393",253433.671,586383.5079,"2017-04-04","2599-12-31"
"394",246758.2624,571707.7562,"2015-09-15","2599-12-31"
"395",244305.4946,607088.675,"2015-02-10","2599-12-31"
"396",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"397",245080.1446,581028.328,"2016-06-14","2599-12-31"
"398",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"399",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"400",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"401",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"402",234561.2513,585463.3871,"2015-11-27","2599-12-31"
"403",238596.8794,601743.5748,"2015-09-22","2599-12-31"
"404",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"405",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"406",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"407",245080.1446,581028.328,"2016-06-14","2599-12-31"
"408",243906.0488,594623.1669,"2015-09-18","2599-12-31"
"409",247022.3198,604457.6339,"2015-07-16","2599-12-31"
"410",264920.4731,588749.5934,"2015-12-02","2599-12-31"
"411",247034.6653,580089.6325,"2014-10-23","2599-12-31"
"412",253433.671,586383.5079,"2017-04-04","2599-12-31"
"413",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"414",244818.7241,577480.3161,"2014-10-23","2599-12-31"
"415",248207.606,590399.6553,"2014-09-17","2599-12-31"
"416",264920.4731,588749.5934,"2015-12-02","2599-12-31"
"417",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"418",255450.3924,595371.375,"2015-05-28","2599-12-31"
"419",257568.1765,587595.918,"2015-12-07","2599-12-31"
"420",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"421",235413.6028,592553.0377,"2015-09-17","2599-12-31"
"422",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"423",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"424",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"425",241114.2716,600275.16,"2015-11-27","2599-12-31"
"426",243906.0488,594623.1669,"2015-09-18","2599-12-31"
"427",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"428",238943.6634,581422.3842,"2015-10-22","2599-12-31"
"429",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"430",243289.2751,598756.8534,"2017-01-01","2017-12-15"
"431",243289.2751,598756.8534,"2017-01-01","2017-12-15"
"432",241114.2716,600275.16,"2015-11-27","2599-12-31"
"433",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"434",252612.1318,573944.5712,"2015-02-12","2599-12-31"
"435",241114.2716,600275.16,"2015-11-27","2599-12-31"
"436",243289.2751,598756.8534,"2017-01-01","2017-12-15"
"437",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"438",243289.2751,598756.8534,"2017-01-01","2017-12-15"
"439",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"440",252612.1318,573944.5712,"2015-02-12","2599-12-31"
"441",247127.8894,578752.8488,"2014-09-17","2599-12-31"
"442",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"443",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"444",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"445",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"446",257568.1765,587595.918,"2015-12-07","2599-12-31"
"447",248207.606,590399.6553,"2014-09-17","2599-12-31"
"448",248207.606,590399.6553,"2014-09-17","2599-12-31"
"449",255450.3924,595371.375,"2015-05-28","2599-12-31"
"450",241645.0932,580508.0868,"2015-02-11","2599-12-31"
"451",238943.6634,581422.3842,"2015-10-22","2599-12-31"
"452",261958.2215,582864.2158,"2015-02-11","2599-12-31"
