"","X","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"1368",2505,"NL","PET","HGZ",52.770593,4.659526,6,0,"24/07/2019 00:00","31/12/2599 23:59",105890.6122,531723.3483,"24/07/2019","31/12/2599"
"1371",2508,"NL","PMR","HGZ",52.511587,5.010631,-3.1,0,"25/03/2022 00:00","31/12/2599 23:59",129435.6286,502722.5996,"25/03/2022","31/12/2599"
"1374",2509,"NL","PPB0","HHE",52.6526,4.67,1,0,"15/05/1998 00:00","16/10/2010 00:00",106467.2169,518587.2428,"15/05/1998","16/10/2010"
"1405",2540,"NL","PPB4","HHE",52.6526,4.67,1,240,"09/07/1995 00:00","16/10/2010 00:00",106467.2169,518587.2428,"09/07/1995","16/10/2010"
"1406",2543,"NL","PPB4","HHE",52.6526,4.67,1,240,"16/10/2010 00:00","02/07/2019 07:05",106467.2169,518587.2428,"16/10/2010","02/07/2019"
"1407",2546,"NL","PPB4","HHE",52.6526,4.67,1,240,"02/07/2019 07:05","31/12/2599 23:59",106467.2169,518587.2428,"02/07/2019","31/12/2599"
"1393",2524,"NL","PPB2","HHZ",52.6526,4.67,1,90,"01/05/1998 00:00","16/10/2010 00:00",106467.2169,518587.2428,"01/05/1998","16/10/2010"
"1418",2566,"NL","ROS1","HGZ",52.8425,7.0327,0,1,"13/06/1996 00:00","10/01/1997 00:00",265862.7741,540741.0438,"13/06/1996","10/01/1997"
"1419",2569,"NL","ROS1","HGZ",52.8425,7.0327,0,1,"10/01/1997 00:00","01/01/2020 00:00",265862.7741,540741.0438,"10/01/1997","01/01/2020"
"1424",2572,"NL","ROS2","HGZ",52.8206,7.0465,0,1,"20/02/1997 00:00","27/08/2014 00:00",266848.4082,538325.808,"20/02/1997","27/08/2014"
"1427",2575,"NL","ROS3","HGZ",52.8365,7.0679,0,1,"20/02/1997 00:00","03/11/2000 00:00",268249.5639,540128.1309,"20/02/1997","03/11/2000"
"1430",2578,"NL","ROS4","HGZ",52.8365,7.0679,0,1,"17/12/1998 00:00","01/01/2010 00:00",268249.5639,540128.1309,"17/12/1998","01/01/2010"
"1433",2581,"NL","ROS5","HGZ",52.8336,7.0479,0,1,"04/01/2000 00:00","18/02/2003 00:00",266909.5012,539774.3068,"04/01/2000","18/02/2003"
"1434",2584,"NL","ROS5","HGZ",52.8336,7.0479,0,1,"18/02/2003 00:00","22/03/2006 00:00",266909.5012,539774.3068,"18/02/2003","22/03/2006"
"1439",2587,"NL","ROS6","HGZ",52.8275,7.0283,0,1,"03/11/2000 00:00","01/01/2014 00:00",265604.2988,539065.4445,"03/11/2000","01/01/2014"
"1448",2602,"NL","SL014","HHZ",52.855091,4.868278,2,200,"12/05/2017 00:00","31/12/2599 23:59",120046.1135,541004.3117,"12/05/2017","31/12/2599"
"1449",2605,"NL","SNB","HGZ",52.68419,6.871926,13.7,0,"03/12/2021 00:00","31/12/2599 23:59",255394.0046,522892.9303,"03/12/2021","31/12/2599"
"1470",2624,"NL","SPY4","HHE",53.4098,6.7838,1,120,"08/07/2010 00:00","14/06/2016 11:00",247871.7148,603512.4347,"08/07/2010","14/06/2016"
"1471",2627,"NL","SPY4","HHE",53.4098,6.7838,1,120,"14/06/2016 11:00","31/12/2599 23:59",247871.7148,603512.4347,"14/06/2016","31/12/2599"
"1476",2632,"NL","SRHV","HGZ",53.183259,6.184924,0.8,0,"06/03/2020 00:00","31/12/2599 23:59",208328.1638,577693.6671,"06/03/2020","31/12/2599"
"1479",2635,"NL","STDM","HGZ",53.3123,6.6921,0,1,"15/09/2009 00:00","17/09/2014 00:00",241971.0456,592547.8938,"15/09/2009","17/09/2014"
"1482",2638,"NL","STR","HGZ",51.74369,4.557321,-0.5,0,"15/10/2020 00:00","31/12/2599 23:59",97685.73128,417546.4828,"15/10/2020","31/12/2599"
"1503",2657,"NL","SUH4","HHE",53.2113,6.211,0,120,"26/08/2009 00:00","13/06/2016 14:00",210035.6281,580833.8017,"26/08/2009","13/06/2016"
"1504",2660,"NL","SUH4","HHE",53.2113,6.211,0,120,"13/06/2016 14:00","31/12/2599 23:59",210035.6281,580833.8017,"13/06/2016","31/12/2599"
"1515",2679,"NL","T014","HHZ",52.464256,6.740072,17.9,200,"08/12/2015 00:00","08/05/2019 13:23",246936.7165,498248.9232,"08/12/2015","08/05/2019"
"1516",2680,"NL","T014","HHZ",52.464256,6.740072,17.9,200,"15/10/2021 09:20","31/12/2599 23:59",246936.7165,498248.9232,"15/10/2021","31/12/2599"
"1523",2695,"NL","T024","HHZ",52.463356,6.978702,2,200,"13/01/2016 00:00","31/12/2599 23:59",263153.7872,498478.5866,"13/01/2016","31/12/2599"
"1530",2710,"NL","T034","HHZ",52.42968,6.79178,2,200,"08/12/2015 00:00","31/12/2599 23:59",250524.9632,494469.2009,"08/12/2015","31/12/2599"
"1537",2725,"NL","T044","HHZ",52.437466,6.89045,2,200,"13/01/2016 00:00","31/12/2599 23:59",257216.8566,495470.1327,"13/01/2016","31/12/2599"
"1544",2740,"NL","T054","HHZ",52.380554,6.905661,2,200,"08/12/2015 00:00","31/12/2599 23:59",258383.8298,489160.3366,"08/12/2015","31/12/2599"
"1551",2755,"NL","T064","HHZ",52.343227,6.909716,2,200,"04/02/2016 00:00","31/12/2599 23:59",258747.1691,485013.5992,"04/02/2016","31/12/2599"
"1558",2770,"NL","T084","HHZ",52.38933,6.996486,2,200,"07/04/2016 00:00","31/12/2599 23:59",264545.246,490270.1443,"07/04/2016","31/12/2599"
"1559",2771,"NL","TERZ","BHE",50.756763,5.906114,150,0,"03/06/2019 00:00","31/12/2599 23:59",191618.7609,307553.1646,"03/06/2019","31/12/2599"
"1561",2787,"NL","TERZ","LCE",50.756763,5.906114,150,250,"19/06/2019 00:00","31/12/2599 23:59",191618.7609,307553.1646,"19/06/2019","31/12/2599"
"1569",2803,"NL","TWZL","HGZ",53.232544,6.092683,1.9,0,"26/06/2020 00:00","31/12/2599 23:59",202108.1835,583114.049,"26/06/2020","31/12/2599"
"1572",2806,"NL","UTRP","HGZ",53.096883,6.184182,3.7,0,"06/03/2020 00:00","31/12/2599 23:59",208384.8773,568080.9969,"06/03/2020","31/12/2599"
"1602",2834,"NL","VBG4","HHE",52.544,6.6693,11,192,"28/04/1995 00:00","01/09/2010 00:00",241970.4472,507033.3713,"28/04/1995","01/09/2010"
"1603",2837,"NL","VBG4","HHE",52.544,6.6693,11,192,"01/09/2010 00:00","16/06/2016 10:00",241970.4472,507033.3713,"01/09/2010","16/06/2016"
