"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"58",2795,"NL","WDB4","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"59",2798,"NL","WDB4","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"60",2959,"NL","ZL21","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"61",2962,"NL","ZL21","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"62",2965,"NL","ZL21","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"63",2968,"NL","ZL21","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"64",2971,"NL","ZL22","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"65",2974,"NL","ZL22","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"66",2977,"NL","ZL22","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"67",2980,"NL","ZL22","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"68",2983,"NL","ZL23","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"69",2986,"NL","ZL23","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"70",2989,"NL","ZL23","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"71",2992,"NL","ZL23","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"72",2995,"NL","ZL24","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"73",2998,"NL","ZL24","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"74",3001,"NL","ZL24","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"75",3004,"NL","ZL24","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
