"","Network","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year","Start_date","End_date"
"69","NL","ENV1","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E",2009,2016,"2009-12-04","2016-06-16"
"70","NL","ENV1","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E",2016,2599,"2016-06-16","2599-12-31"
"71","NL","ENV2","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E",1995,2009,"1995-09-09","2009-12-04"
"72","NL","ENV2","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E",2009,2016,"2009-12-04","2016-06-16"
"73","NL","ENV2","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E",2016,2599,"2016-06-16","2599-12-31"
"74","NL","ENV3","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E",1995,2009,"1995-09-09","2009-12-04"
"75","NL","ENV3","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E",2009,2016,"2009-12-04","2016-06-16"
"76","NL","ENV3","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E",2016,2599,"2016-06-16","2599-12-31"
"77","NL","ENV4","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E",1995,2009,"1995-09-09","2009-12-04"
"78","NL","ENV4","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E",2009,2016,"2009-12-04","2016-06-16"
"79","NL","ENV4","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E",2016,2599,"2016-06-16","2599-12-31"
"80","NL","FDG1","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E",2009,2599,"2009-10-13","2599-12-31"
"81","NL","FDG2","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E",2009,2599,"2009-10-13","2599-12-31"
"82","NL","FDG3","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E",2009,2599,"2009-10-13","2599-12-31"
"83","NL","FDG4","HHE",53.2562,5.5481,"2009-10-13T00:00:00","2599-12-31T23:59:59",165737.8339,585527.958,"E",2009,2599,"2009-10-13","2599-12-31"
"84","NL","FSW1","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E",1995,2010,"1995-05-05","2010-04-29"
"85","NL","FSW1","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E",2010,2016,"2010-04-29","2016-06-14"
"86","NL","FSW1","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E",2016,2599,"2016-06-14","2599-12-31"
"87","NL","FSW2","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E",1995,2010,"1995-05-05","2010-04-29"
"88","NL","FSW2","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E",2010,2016,"2010-04-29","2016-06-14"
